"code","scientific_name","common_name"
NA,"dendrocygna viduata","white-faced whistling-duck"
"bbwduc","dendrocygna autumnalis","black-bellied whistling-duck"
NA,"dendrocygna arborea","west indian whistling-duck"
"fuwduc","dendrocygna bicolor","fulvous whistling-duck"
NA,"dendrocygna javanica","lesser whistling-duck"
NA,"anser indicus","bar-headed goose"
"empgoo","anser canagicus","emperor goose"
"snogoo","anser caerulescens","snow goose"
NA,"anser anser","graylag goose"
"gwfgoo","anser albifrons","greater white-fronted goose"
NA,"anser fabalis","taiga bean-goose"
"brant","branta bernicla","brant"
NA,"branta leucopsis","barnacle goose"
"cacgoo1","branta hutchinsii","cackling goose"
"cangoo","branta canadensis","canada goose"
NA,"branta ruficollis","red-breasted goose"
"mutswa","cygnus olor","mute swan"
"blkswa","cygnus atratus","black swan"
"blnswa2","cygnus melancoryphus","black-necked swan"
"truswa","cygnus buccinator","trumpeter swan"
"tunswa","cygnus columbianus","tundra swan"
"whoswa","cygnus cygnus","whooper swan"
"egygoo","alopochen aegyptiaca","egyptian goose"
NA,"tadorna tadorna","common shelduck"
NA,"plectropterus gambensis","spur-winged goose"
NA,"lophonetta specularioides","crested duck"
"musduc","cairina moschata","muscovy duck"
NA,"nettapus coromandelianus","cotton pygmy-goose"
NA,"callonetta leucophrys","ringed teal"
"wooduc","aix sponsa","wood duck"
NA,"aix galericulata","mandarin duck"
NA,"spatula querquedula","garganey"
"siltea1","spatula versicolor","silver teal"
"aussho1","spatula rhynchotis","australasian shoveler"
"norsho","spatula clypeata","northern shoveler"
"gadwal","mareca strepera","gadwall"
NA,"mareca penelope","eurasian wigeon"
"amewig","mareca americana","american wigeon"
"chiwig1","mareca sibilatrix","chiloe wigeon"
NA,"anas superciliosa","pacific black duck"
NA,"anas poecilorhyncha","indian spot-billed duck"
"spbduc","anas zonorhyncha","eastern spot-billed duck"
"mallar3","anas platyrhynchos","mallard"
"whcpin","anas bahamensis","white-cheeked pintail"
NA,"anas erythrorhyncha","red-billed duck"
"norpin","anas acuta","northern pintail"
"gnwtea","anas crecca","green-winged teal"
"gretea1","anas gracilis","gray teal"
NA,"netta rufina","red-crested pochard"
NA,"netta peposaca","rosy-billed pochard"
"canvas","aythya valisineria","canvasback"
NA,"aythya ferina","common pochard"
"rinduc","aythya collaris","ring-necked duck"
NA,"aythya nyroca","ferruginous duck"
NA,"aythya fuligula","tufted duck"
"gresca","aythya marila","greater scaup"
"lessca","aythya affinis","lesser scaup"
"steeid","polysticta stelleri","steller's eider"
"speeid","somateria fischeri","spectacled eider"
"kineid","somateria spectabilis","king eider"
"comeid","somateria mollissima","common eider"
"harduc","histrionicus histrionicus","harlequin duck"
"sursco","melanitta perspicillata","surf scoter"
NA,"melanitta fusca","velvet scoter"
"whwsco2","melanitta deglandi","white-winged scoter"
NA,"melanitta nigra","common scoter"
"blksco2","melanitta americana","black scoter"
"lotduc","clangula hyemalis","long-tailed duck"
"buffle","bucephala albeola","bufflehead"
"comgol","bucephala clangula","common goldeneye"
"bargol","bucephala islandica","barrow's goldeneye"
NA,"mergellus albellus","smew"
"commer","mergus merganser","common merganser"
"rebmer","mergus serrator","red-breasted merganser"
"rudduc","oxyura jamaicensis","ruddy duck"
NA,"oxyura leucocephala","white-headed duck"
"norbob","colinus virginianus","northern bobwhite"
"calqua","callipepla californica","california quail"
NA,"arborophila crudigularis","taiwan partridge"
"wiltur","meleagris gallopavo","wild turkey"
NA,"tetrastes bonasia","hazel grouse"
"wilpta","lagopus lagopus","willow ptarmigan"
NA,"lagopus muta","rock ptarmigan"
NA,"lyrurus tetrix","black grouse"
"grypar","perdix perdix","gray partridge"
NA,"syrmaticus mikado","mikado pheasant"
"rinphe1","phasianus colchicus","ring-necked pheasant"
NA,"lophura swinhoii","swinhoe's pheasant"
NA,"lophura leucomelanos","kalij pheasant"
"compea","pavo cristatus","indian peafowl"
NA,"galloperdix spadicea","red spurfowl"
"taibap1","bambusicola sonorivox","taiwan bamboo-partridge"
NA,"gallus gallus","red junglefowl"
"grejun2","gallus sonneratii","gray junglefowl"
NA,"ortygornis pondicerianus","gray francolin"
NA,"ortygornis gularis","swamp francolin"
NA,"francolinus francolinus","black francolin"
NA,"tetraogallus himalayensis","himalayan snowcock"
"broqua1","synoicus ypsilophorus","brown quail"
NA,"coturnix coturnix","common quail"
"relpar1","alectoris rufa","red-legged partridge"
"chukar","alectoris chukar","chukar"
NA,"perdicula asiatica","jungle bush-quail"
"chifla1","phoenicopterus chilensis","chilean flamingo"
NA,"tachybaptus ruficollis","little grebe"
"ausgre1","tachybaptus novaehollandiae","australasian grebe"
"horgre","podiceps auritus","horned grebe"
"rengre","podiceps grisegena","red-necked grebe"
NA,"podiceps cristatus","great crested grebe"
"eargre","podiceps nigricollis","eared grebe"
"rocpig","columba livia","rock pigeon"
"spepig1","columba guinea","speckled pigeon"
NA,"columba oenas","stock dove"
"cowpig1","columba palumbus","common wood-pigeon"
NA,"streptopelia turtur","european turtle-dove"
"ortdov","streptopelia orientalis","oriental turtle-dove"
"eucdov","streptopelia decaocto","eurasian collared-dove"
"reedov1","streptopelia semitorquata","red-eyed dove"
"recdov1","streptopelia tranquebarica","red collared-dove"
"spodov","spilopelia chinensis","spotted dove"
NA,"chalcophaps indica","asian emerald dove"
"crepig1","ocyphaps lophotes","crested pigeon"
"basdov1","geopelia humeralis","bar-shouldered dove"
NA,"treron affinis","gray-fronted green-pigeon"
"yefpig1","treron phoenicopterus","yellow-footed green-pigeon"
NA,"treron sieboldii","white-bellied green-pigeon"
NA,"treron formosae","whistling green-pigeon"
NA,"ducula aenea","green imperial-pigeon"
NA,"pterocles orientalis","black-bellied sandgrouse"
NA,"pterocles indicus","painted sandgrouse"
"grecou1","centropus sinensis","greater coucal"
NA,"centropus bengalensis","lesser coucal"
NA,"phaenicophaeus viridirostris","blue-faced malkoha"
NA,"clamator glandarius","great spotted cuckoo"
NA,"clamator jacobinus","pied cuckoo"
"asikoe2","eudynamys scolopaceus","asian koel"
"asikoe3","eudynamys orientalis","pacific koel"
"chbcuc2","scythrops novaehollandiae","channel-billed cuckoo"
"hobcuc1","chrysococcyx basalis","horsfield's bronze-cuckoo"
"shbcuc1","chrysococcyx lucidus","shining bronze-cuckoo"
"libcuc1","chrysococcyx minutillus","little bronze-cuckoo"
NA,"cacomantis passerinus","gray-bellied cuckoo"
"brucuc1","cacomantis variolosus","brush cuckoo"
NA,"hierococcyx sparverioides","large hawk-cuckoo"
NA,"hierococcyx varius","common hawk-cuckoo"
NA,"cuculus micropterus","indian cuckoo"
NA,"cuculus canorus","common cuckoo"
NA,"cuculus optatus","oriental cuckoo"
NA,"caprimulgus europaeus","eurasian nightjar"
NA,"caprimulgus asiaticus","indian nightjar"
NA,"caprimulgus affinis","savanna nightjar"
NA,"hirundapus caudacutus","white-throated needletail"
NA,"aerodramus unicolor","indian swiftlet"
NA,"tachymarptis melba","alpine swift"
NA,"apus apus","common swift"
NA,"apus unicolor","plain swift"
NA,"apus pallidus","pallid swift"
NA,"apus pacificus","pacific swift"
NA,"apus affinis","little swift"
"houswi1","apus nipalensis","house swift"
NA,"cypsiurus balasiensis","asian palm swift"
