"code","scientific_name","common_name"
"cangoo","branta canadensis","canada goose"
"mutswa","cygnus olor","mute swan"
"blkswa","cygnus atratus","black swan"
"egygoo","alopochen aegyptiaca","egyptian goose"
"parshe1","tadorna variegata","paradise shelduck"
"musduc","cairina moschata","muscovy duck"
"aussho1","spatula rhynchotis","australasian shoveler"
"norsho","spatula clypeata","northern shoveler"
"mallar3","anas platyrhynchos","mallard"
"norpin","anas acuta","northern pintail"
"gnwtea","anas crecca","green-winged teal"
"gretea1","anas gracilis","gray teal"
"ausbrt1","alectura lathami","australian brushturkey"
"calqua","callipepla californica","california quail"
"wiltur","meleagris gallopavo","wild turkey"
"rinphe1","phasianus colchicus","ring-necked pheasant"
"compea","pavo cristatus","indian peafowl"
"broqua1","synoicus ypsilophorus","brown quail"
"chukar","alectoris chukar","chukar"
"ausgre1","tachybaptus novaehollandiae","australasian grebe"
"hohgre1","poliocephalus poliocephalus","hoary-headed grebe"
"rocpig","columba livia","rock pigeon"
"ortdov","streptopelia orientalis","oriental turtle-dove"
"recdov1","streptopelia tranquebarica","red collared-dove"
"spodov","spilopelia chinensis","spotted dove"
"brcdov1","macropygia phasianella","brown cuckoo-dove"
"crepig1","ocyphaps lophotes","crested pigeon"
"basdov1","geopelia humeralis","bar-shouldered dove"
"asikoe2","eudynamys scolopaceus","asian koel"
"asikoe3","eudynamys orientalis","pacific koel"
"chbcuc2","scythrops novaehollandiae","channel-billed cuckoo"
"hobcuc1","chrysococcyx basalis","horsfield's bronze-cuckoo"
"shbcuc1","chrysococcyx lucidus","shining bronze-cuckoo"
"libcuc1","chrysococcyx minutillus","little bronze-cuckoo"
"fatcuc1","cacomantis flabelliformis","fan-tailed cuckoo"
"brucuc1","cacomantis variolosus","brush cuckoo"
"houswi1","apus nipalensis","house swift"
"bubrai1","gallirallus philippensis","buff-banded rail"
"whbwat1","amaurornis phoenicurus","white-breasted waterhen"
"brolga1","antigone rubicunda","brolga"
"butkne1","burhinus grallarius","bush thick-knee"
"piesti1","himantopus leucocephalus","pied stilt"
