"code","scientific_name","common_name"
"higtin1","nothocercus bonapartei","highland tinamou"
NA,"tinamus major","great tinamou"
NA,"crypturellus soui","little tinamou"
NA,"crypturellus boucardi","slaty-breasted tinamou"
NA,"crypturellus cinnamomeus","thicket tinamou"
"bbwduc","dendrocygna autumnalis","black-bellied whistling-duck"
"fuwduc","dendrocygna bicolor","fulvous whistling-duck"
"snogoo","anser caerulescens","snow goose"
NA,"anser anser","graylag goose"
"gwfgoo","anser albifrons","greater white-fronted goose"
"brant","branta bernicla","brant"
"cangoo","branta canadensis","canada goose"
NA,"oressochen jubatus","orinoco goose"
"egygoo","alopochen aegyptiaca","egyptian goose"
"musduc","cairina moschata","muscovy duck"
"wooduc","aix sponsa","wood duck"
NA,"aix galericulata","mandarin duck"
"buwtea","spatula discors","blue-winged teal"
"cintea","spatula cyanoptera","cinnamon teal"
"norsho","spatula clypeata","northern shoveler"
"gadwal","mareca strepera","gadwall"
"amewig","mareca americana","american wigeon"
"mallar3","anas platyrhynchos","mallard"
"whcpin","anas bahamensis","white-cheeked pintail"
"norpin","anas acuta","northern pintail"
"gnwtea","anas crecca","green-winged teal"
"canvas","aythya valisineria","canvasback"
"redhea","aythya americana","redhead"
NA,"aythya ferina","common pochard"
"rinduc","aythya collaris","ring-necked duck"
"gresca","aythya marila","greater scaup"
"lessca","aythya affinis","lesser scaup"
"sursco","melanitta perspicillata","surf scoter"
"hoomer","lophodytes cucullatus","hooded merganser"
"rebmer","mergus serrator","red-breasted merganser"
NA,"nomonyx dominicus","masked duck"
"rudduc","oxyura jamaicensis","ruddy duck"
"placha","ortalis vetula","plain chachalaca"
"grhcha1","ortalis cinereiceps","gray-headed chachalaca"
NA,"ortalis leucogastra","white-bellied chachalaca"
"cregua1","penelope purpurascens","crested guan"
NA,"chamaepetes unicolor","black guan"
NA,"penelopina nigra","highland guan"
NA,"crax rubra","great curassow"
NA,"rhynchortyx cinctus","tawny-faced quail"
NA,"dendrortyx leucophrys","buffy-crowned wood-partridge"
"norbob","colinus virginianus","northern bobwhite"
NA,"colinus nigrogularis","black-throated bobwhite"
NA,"colinus cristatus","crested bobwhite"
NA,"dactylortyx thoracicus","singing quail"
