"code","scientific_name","common_name"
"higtin1","nothocercus bonapartei","highland tinamou"
"bbwduc","dendrocygna autumnalis","black-bellied whistling-duck"
"fuwduc","dendrocygna bicolor","fulvous whistling-duck"
"empgoo","anser canagicus","emperor goose"
"snogoo","anser caerulescens","snow goose"
"rosgoo","anser rossii","ross's goose"
"gwfgoo","anser albifrons","greater white-fronted goose"
"brant","branta bernicla","brant"
"cacgoo1","branta hutchinsii","cackling goose"
"cangoo","branta canadensis","canada goose"
"mutswa","cygnus olor","mute swan"
"blkswa","cygnus atratus","black swan"
"blnswa2","cygnus melancoryphus","black-necked swan"
"truswa","cygnus buccinator","trumpeter swan"
"tunswa","cygnus columbianus","tundra swan"
"whoswa","cygnus cygnus","whooper swan"
"cosswa1","coscoroba coscoroba","coscoroba swan"
"uplgoo1","chloephaga picta","upland goose"
"egygoo","alopochen aegyptiaca","egyptian goose"
"parshe1","tadorna variegata","paradise shelduck"
"musduc","cairina moschata","muscovy duck"
"wooduc","aix sponsa","wood duck"
"siltea1","spatula versicolor","silver teal"
"buwtea","spatula discors","blue-winged teal"
"cintea","spatula cyanoptera","cinnamon teal"
"norsho","spatula clypeata","northern shoveler"
"gadwal","mareca strepera","gadwall"
"amewig","mareca americana","american wigeon"
"chiwig1","mareca sibilatrix","chiloe wigeon"
"yebduc1","anas undulata","yellow-billed duck"
"spbduc","anas zonorhyncha","eastern spot-billed duck"
"mallar3","anas platyrhynchos","mallard"
"mexduc","anas diazi","mexican duck"
"ambduc","anas rubripes","american black duck"
"motduc","anas fulvigula","mottled duck"
"whcpin","anas bahamensis","white-cheeked pintail"
"norpin","anas acuta","northern pintail"
"yebpin1","anas georgica","yellow-billed pintail"
"gnwtea","anas crecca","green-winged teal"
"canvas","aythya valisineria","canvasback"
"redhea","aythya americana","redhead"
"rinduc","aythya collaris","ring-necked duck"
"gresca","aythya marila","greater scaup"
"lessca","aythya affinis","lesser scaup"
"steeid","polysticta stelleri","steller's eider"
