"code","scientific_name","common_name"
NA,"rhea americana","greater rhea"
"higtin1","nothocercus bonapartei","highland tinamou"
NA,"tinamus major","great tinamou"
NA,"crypturellus soui","little tinamou"
"brotin1","crypturellus obsoletus","brown tinamou"
NA,"crypturellus transfasciatus","pale-browed tinamou"
NA,"rhynchotus rufescens","red-winged tinamou"
NA,"nothoprocta pentlandii","andean tinamou"
"sponot1","nothura maculosa","spotted nothura"
NA,"chauna torquata","southern screamer"
NA,"dendrocygna viduata","white-faced whistling-duck"
"bbwduc","dendrocygna autumnalis","black-bellied whistling-duck"
"fuwduc","dendrocygna bicolor","fulvous whistling-duck"
"empgoo","anser canagicus","emperor goose"
"snogoo","anser caerulescens","snow goose"
NA,"anser anser","graylag goose"
"gwfgoo","anser albifrons","greater white-fronted goose"
NA,"branta leucopsis","barnacle goose"
"cangoo","branta canadensis","canada goose"
"mutswa","cygnus olor","mute swan"
"blkswa","cygnus atratus","black swan"
"blnswa2","cygnus melancoryphus","black-necked swan"
"cosswa1","coscoroba coscoroba","coscoroba swan"
NA,"oressochen jubatus","orinoco goose"
"andgoo1","oressochen melanopterus","andean goose"
"uplgoo1","chloephaga picta","upland goose"
NA,"chloephaga poliocephala","ashy-headed goose"
"egygoo","alopochen aegyptiaca","egyptian goose"
NA,"tadorna tadorna","common shelduck"
NA,"tachyeres patachonicus","flying steamer-duck"
NA,"lophonetta specularioides","crested duck"
"musduc","cairina moschata","muscovy duck"
NA,"callonetta leucophrys","ringed teal"
"wooduc","aix sponsa","wood duck"
NA,"aix galericulata","mandarin duck"
"bratea1","amazonetta brasiliensis","brazilian teal"
"siltea1","spatula versicolor","silver teal"
"buwtea","spatula discors","blue-winged teal"
"cintea","spatula cyanoptera","cinnamon teal"
"redsho1","spatula platalea","red shoveler"
"norsho","spatula clypeata","northern shoveler"
"gadwal","mareca strepera","gadwall"
NA,"mareca penelope","eurasian wigeon"
"amewig","mareca americana","american wigeon"
"chiwig1","mareca sibilatrix","chiloe wigeon"
NA,"anas sparsa","african black duck"
"mallar3","anas platyrhynchos","mallard"
"whcpin","anas bahamensis","white-cheeked pintail"
"norpin","anas acuta","northern pintail"
"yebpin1","anas georgica","yellow-billed pintail"
"gnwtea","anas crecca","green-winged teal"
"yebtea1","anas flavirostris","yellow-billed teal"
NA,"netta rufina","red-crested pochard"
NA,"netta peposaca","rosy-billed pochard"
"rinduc","aythya collaris","ring-necked duck"
NA,"aythya fuligula","tufted duck"
"gresca","aythya marila","greater scaup"
"lessca","aythya affinis","lesser scaup"
"buffle","bucephala albeola","bufflehead"
NA,"heteronetta atricapilla","black-headed duck"
NA,"nomonyx dominicus","masked duck"
"rudduc","oxyura jamaicensis","ruddy duck"
NA,"oxyura vittata","lake duck"
"grhcha1","ortalis cinereiceps","gray-headed chachalaca"
NA,"ortalis ruficauda","rufous-vented chachalaca"
NA,"ortalis canicollis","chaco chachalaca"
"cregua1","penelope purpurascens","crested guan"
NA,"penelope perspicax","cauca guan"
NA,"pipile jacutinga","black-fronted piping-guan"
NA,"crax rubra","great curassow"
NA,"crax fasciolata","bare-faced curassow"
NA,"rhynchortyx cinctus","tawny-faced quail"
NA,"colinus cristatus","crested bobwhite"
"calqua","callipepla californica","california quail"
"wiltur","meleagris gallopavo","wild turkey"
"rinphe1","phasianus colchicus","ring-necked pheasant"
"compea","pavo cristatus","indian peafowl"
NA,"gallus gallus","red junglefowl"
"chifla1","phoenicopterus chilensis","chilean flamingo"
"grefla2","phoenicopterus ruber","american flamingo"
NA,"rollandia rolland","white-tufted grebe"
"leagre","tachybaptus dominicus","least grebe"
"pibgre","podilymbus podiceps","pied-billed grebe"
"gregre1","podiceps major","great grebe"
NA,"podiceps occipitalis","silvery grebe"
"rocpig","columba livia","rock pigeon"
NA,"patagioenas cayennensis","pale-vented pigeon"
NA,"patagioenas speciosa","scaled pigeon"
"scnpig1","patagioenas squamosa","scaly-naped pigeon"
"picpig2","patagioenas picazuro","picazuro pigeon"
NA,"patagioenas corensis","bare-eyed pigeon"
NA,"patagioenas maculosa","spot-winged pigeon"
"whcpig2","patagioenas leucocephala","white-crowned pigeon"
"batpig1","patagioenas fasciata","band-tailed pigeon"
"chipig2","patagioenas araucana","chilean pigeon"
NA,"patagioenas subvinacea","ruddy pigeon"
"shbpig","patagioenas nigrirostris","short-billed pigeon"
