"species","freq","class"
"Accipiter brachyurus",1,"Aves"
"Accipiter gentilis",43,"Aves"
"Accipiter Gentilis ",10,"Aves"
"Accipiter nisus",53,"Aves"
"Accipitridae (incognita)",317,"Aves"
"Accipitridae (Incognita)",231,"Aves"
"Accipitridae (Unidentified):Accipitridae (Incognita)(Accipitridae)",26,"Aves"
"Aechmophorus occidentalis",3,"Aves"
"Agapornis personatus",1,"Aves"
"Agapornis roseicollis",1,"Aves"
"Aix galericulata",2,"Aves"
"Aix sponsa",2,"Aves"
"Al indeterminatum fau",639,NA
"Alca torda",20,"Aves"
"Alcidae (incognita)",4,"Aves"
"Alectoris rufa",1,"Aves"
"Alle alle",2,"Aves"
"Alopochen aegyptiaca",11,"Aves"
"Anas acuta",5,"Aves"
"Anas bernieri",1,"Aves"
"Anas clypeata",2,NA
"Anas crecca",44,"Aves"
"Anas penelope",78,"Aves"
"Anas platyrhynchos",187,"Aves"
"Anas querquedula",1,"Aves"
"Anas rhynchotis",1,"Aves"
"Anas strepera",11,"Aves"
"Anas versicolor",1,"Aves"
"Anatidae (incognita)",1260,"Aves"
"Anatidae (Incognita)",1083,"Aves"
"Anser albifrons",50,"Aves"
"Anser anser",489,"Aves"
"Anser brachyrhynchus",130,"Aves"
"Anser erythropus",3,"Aves"
"Anser fabalis",18,"Aves"
"Anserinae (unidentified)",370,"Aves"
"Anserinae (Unidentified):Anserinae (Incognita)(Anatidae)",155,"Aves"
"Aquila audax",1,"Aves"
"Aquila chrysaetos",4,"Aves"
"Aquila fasciata",1,"Aves"
"Aquila heliaca",2,"Aves"
"Aquila nipalensis",1,"Aves"
"Ara ararauna",1,"Aves"
"Ara macao",1,"Aves"
"Aratinga auricapillus",1,"Aves"
"Arctic Skua (Or Parasitic Jaeger)",3,NA
"Arctic Tern (Sterna Paradisea)",4,"Aves"
"Ardea alba",25,"Aves"
"Ardea cinerea",87,"Aves"
"Ardea herodias",5,"Aves"
"Ardeidae (incognita)",48,"Aves"
"Ardeidae (Unspecified)",11,"Aves"
"Arenaria interpres",1,"Aves"
"Armenian Gull (Larus Armenicus)",1,"Aves"
"Asio flammeus",3,"Aves"
"Asio otus",8,"Aves"
"Athene noctua",3,"Aves"
"Atlantic Puffin (Fratercula Arctica)",2,"Aves"
"Aythya ferina",9,"Aves"
"Aythya fuligula",83,"Aves"
"Aythya marila",2,"Aves"
"Balearica regulorum",2,"Aves"
"Barn Owl (Tyto Alba)",6,NA
"Barnacle Goose:branta Leucopsis(Anatidae)",308,"Aves"
"Bean Goose (Anser Fabalis)",13,"Aves"
"Bearded Vulture (Gypaetus Barbatus)",5,NA
"Black-Faced Spoonbill (Platalea Minor)",1,"Aves"
"Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes",38,"Aves"
"Black-Necked Grebe (Podiceps Nigricollis):Podicipedidae-Procellariiformes",1,"Aves"
"Black Backed Gull (Larus Marinus)",4,NA
"Black Guillemot (Cepphus Grylle)	",2,NA
"Black Guillemot (Cepphus Grylle):Alcidae-Charadriiformes",5,NA
"Black Headed Gull (Chroicocephalus Ridibundus)",855,"Aves"
"Black Swan:cygnus Atratus(Anatidae)",10,"Aves"
"Botaurus stellaris",1,"Aves"
"Branta bernicla",18,"Aves"
"Branta canadensis",284,"Aves"
"Branta leucopsis",431,"Aves"
"Branta ruficollis",1,"Aves"
"Brent Goose:branta Bernicla(Anatidae)",18,NA
"Brown-Headed Gull (Chroicocephalus Brunnicephalus)",16,"Aves"
"Bubo bubo",28,"Aves"
"Bubulcus ibis",5,"Aves"
"Bucephala clangula",3,"Aves"
"Buteo buteo",571,"Aves"
"Buteo lagopus",5,"Aves"
"Buzzard",296,NA
"Cacatua ducorpsii",1,"Aves"
"Cackling Goose (Branta Hutchinsii)",1,"Aves"
"Cairina moschata",9,"Aves"
"Calidris alba",9,"Aves"
"Calidris alpina",1,"Aves"
"Calidris canutus",5,"Aves"
"Calidris fuscicollis",1,"Aves"
"Calidris maritima",2,"Aves"
"Calidris pusilla",2,"Aves"
"Canada Goose:branta Canadensis(Anatidae)",125,"Aves"
"Canada Lynx (Lynx Canadensis) ",1,"Mammalia"
"Cape Gannet Shy Albatross",1,NA
"Carduelis carduelis",1,"Aves"
"Carduelis chloris",1,"Aves"
"Caspian Gull (Larus Cachinnans)",5,"Aves"
"Casuariidae (incognita)",2,"Aves"
"Cattle Egret",2,"Aves"
"Cepphus grylle",16,"Aves"
"Charadriidae (incognita)",60,"Aves"
"Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)",55,"Aves"
"Charadrius hiaticula",2,"Aves"
"Charadrius Pallidus",3,"Aves"
"Chenonetta jubata",1,"Aves"
"Chilean Flamingo (Phoenicopterus Chilensis)",1,"Aves"
"Chroicocephalus cirrocephalus",9,"Aves"
"Chroicocephalus ridibundus",1045,"Aves"
"Ciconia ciconia",76,"Aves"
"Ciconiidae (incognita)",20,"Aves"
"Ciconiidae (Unidentified):Ciconiidae(Incognita)(Ciconiidae)",8,"Aves"
"Circus aeruginosus",3,"Aves"
"Circus assimilis",1,"Aves"
"Circus cyaneus",3,"Aves"
"Circus pygargus",2,"Aves"
"Clanga pomarina",1,"Aves"
"Cockatiel",2,"Aves"
"Colinus virginianus",1,"Aves"
"Columba livia",15,"Aves"
"Columba palumbus",15,"Aves"
"Columbidae (incognita)",11,"Aves"
"Columbidae (Unidentified):Columbidae (Incognita)(Columbidae)",4,"Aves"
"Common Coot",8,"Aves"
"Common Eider (Somateria Mollissima)",14,"Aves"
"Common Goldeneye:bucephala Clangula(Anatidae)",2,"Aves"
