"species","freq","class"
"",1,NA
"Accipiter cooperii",11,"Aves"
"Accipiter gentilis",11,"Aves"
"Accipiter Gentilis ",1,"Aves"
"Accipiter nisus",2,"Aves"
"Accipiter striatus",1,"Aves"
"Accipitridae (incognita)",3,"Aves"
"Accipitridae (Incognita)",5,"Aves"
"Acridotheres cristatellus",2,"Aves"
"Aechmophorus occidentalis",5,"Aves"
"Aegolius acadicus",2,"Aves"
"Agelaius phoeniceus",1,"Aves"
"Aix galericulata",23,"Aves"
"Aix sponsa",12,"Aves"
"Ajaia ajaja",1,"Aves"
"Al indeterminatum fau",165,NA
"Alca torda",6,"Aves"
"Alle alle",1,"Aves"
"Alopochen aegyptiaca",2,"Aves"
"American Black Bear (Ursus Americanus)",2,"Mammalia"
"American Crow (Corvus Brachyrhynchos)",22,"Aves"
"American Green-Winged Teal",9,"Aves"
"American Oystercatcher ",1,"Aves"
"American White Pelican (Pelecanus Erythrorhynchos):Pelecanidae-Phaethontiformes",3,"Aves"
"American Wigeon",27,"Aves"
"Amur Leopard (Panthera Pardus Orientalis)",2,"Mammalia"
"Anas [platyrhynchos x rubripes]",1,"Aves"
"Anas acuta",65,"Aves"
"Anas americana",16,"Aves"
"Anas carolinensis",29,"Aves"
"Anas clypeata",35,NA
"Anas crecca",11,"Aves"
"Anas cyanoptera",3,"Aves"
"Anas discors",94,"Aves"
"Anas falcata",1,"Aves"
"Anas flavirostris",3,"Aves"
"Anas fulvigula",1,"Aves"
"Anas penelope",8,"Aves"
"Anas platyrhynchos",344,"Aves"
"Anas poecilorhyncha",23,"Aves"
"Anas querquedula",1,"Aves"
"Anas rubripes",17,"Aves"
"Anas sp.",4,"Aves"
"Anas strepera",12,"Aves"
"Anastomus oscitans",1,"Aves"
"Anatidae (incognita)",10,"Aves"
"Anatidae (Incognita)",26,"Aves"
"Andean Goose (Chloephaga Melanoptera)",2,"Aves"
"Anser albifrons",115,"Aves"
"Anser anser",7,"Aves"
"Anser caerulescens",43,"Aves"
"Anser erythropus",1,"Aves"
"Anser fabalis",19,"Aves"
"Anser indicus",6,"Aves"
"Anser rossii",8,"Aves"
"Anserinae (unidentified)",1,"Aves"
"Anserinae (Unidentified):Anserinae (Incognita)(Anatidae)",3,"Aves"
"Anthropoides virgo",1,"Aves"
"Aquila chrysaetos",1,"Aves"
"Ara chloropterus",1,"Aves"
"Arctic Tern (Sterna Paradisea)",1,"Aves"
"Ardea alba",26,"Aves"
"Ardea cinerea",17,"Aves"
"Ardea herodias",8,"Aves"
"Ardeidae (incognita)",1,"Aves"
"Ardenna gravis",1,"Aves"
"Ardenna grisea",1,"Aves"
"Ardeola grayii",1,"Aves"
"Arenaria interpres",188,"Aves"
"Arenaria melanocephala",1,"Aves"
"Asian Openbill",1,"Aves"
"Asio flammeus",1,"Aves"
"Asio otus",1,"Aves"
"Aythya affinis",3,"Aves"
"Aythya americana",5,"Aves"
"Aythya collaris",2,"Aves"
"Aythya ferina",6,"Aves"
"Aythya fuligula",6,"Aves"
"Aythya marila",5,"Aves"
"Aythya nyroca",1,"Aves"
"Bald Eagle (Haliaeetus Leucocephalus)",33,"Aves"
"Bar-Headed Goose",11,"Aves"
"Barn Owl (Tyto Alba)",2,NA
"Barn Swallow",1,"Aves"
"Bean Goose (Anser Fabalis)",6,"Aves"
"Black-Billed Magpie (Pica Hudsonia):Corvidae-Passeriformes",5,"Aves"
"Black-Cappedchickadee",1,NA
"Black-Faced Spoonbill (Platalea Minor)",5,"Aves"
"Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes",2,"Aves"
"Black-Necked Grebe (Podiceps Nigricollis):Podicipedidae-Procellariiformes",1,"Aves"
"Black-Necked Swan (Cygnus Melancoryphus)",8,"Aves"
"Black Backed Gull (Larus Marinus)",2,NA
"Black Headed Gull (Chroicocephalus Ridibundus)",23,"Aves"
"Black Skimmer",1,"Aves"
"Black Swan:cygnus Atratus(Anatidae)",25,"Aves"
"Blue-Footed Booby (Sula Nebouxii)",3,"Aves"
"Blue Winged Teal (Anas Discors):Anatidae-Anseriformes",1,"Aves"
"Bobcat (Lynx Rufus)",5,"Mammalia"
"Bonasa umbellus",3,"Aves"
"Bottlenose Dolphin (Tursiops Truncatus)",1,NA
"Branta bernicla",4,"Aves"
"Branta canadensis",91,"Aves"
"Branta hutchinsii",13,"Aves"
"Brent Goose:branta Bernicla(Anatidae)",16,NA
"Brown-Headed Gull (Chroicocephalus Brunnicephalus)",3,"Aves"
"Brown Booby (Sula Leucogaster)",1,"Aves"
"Brown Headed Gull",2,"Aves"
"Brown Pelican (Pelecanus Occidentalis)",9,NA
"Bubo bubo",6,"Aves"
"Bubo scandiacus",16,"Aves"
"Bubo Scandiacus (Snowy Owl) - Strigidae",4,"Aves"
"Bubo virginianus",38,"Aves"
"Bubulcus ibis",2,"Aves"
"Bucephala albeola",3,"Aves"
"Bucephala clangula",8,"Aves"
"Burmeister's Porpoise (Phocoena Spinipinnis)",1,"Mammalia"
"Buteo buteo",8,"Aves"
"Buteo jamaicensis",42,"Aves"
"Buteo japonicus",16,"Aves"
"Buteo lagopus",11,"Aves"
"Buteo lineatus",3,"Aves"
"Buteo magnirostris",1,"Aves"
"Buteo platypterus",4,"Aves"
"Buteo regalis",1,"Aves"
"Buteo swainsoni",6,"Aves"
"Buteogallus urubitinga",1,"Aves"
"Buzzard",14,NA
"Cabot's Tern (Thalasseus Acuflavidus)",30,NA
"Cackling Goose (Branta Hutchinsii)",1,"Aves"
"Cairina moschata",3,"Aves"
"Calidris alba",7,"Aves"
"Calidris alpina",3,"Aves"
"Calidris canutus",2,"Aves"
"Calidris minutilla",2,"Aves"
"Canada Goose:branta Canadensis(Anatidae)",46,"Aves"
"Canis latrans",2,"Mammalia"
"Caracara cheriway",1,"Aves"
"Caracara plancus",1,"Aves"
"Casmerodiu",1,NA
"Caspian Seal (Pusa Caspica) ",1,"Mammalia"
"Cathartes aura",48,"Aves"
"Cattle Egret",1,"Aves"
"Centrocercus urophasianus",1,"Aves"
"Charadrii",17,NA
"Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)",4,"Aves"
"Charadrius mongolus",1,"Aves"
"Charadrius nivosus",1,"Aves"
"Chen caerulescens x rossii",1,NA
