"","species","freq","class","order","family","genus"
"1","Accipiter brachyurus","1","Aves","Accipitriformes","Accipitridae","Accipiter"
"2","Accipiter gentilis","43","Aves","Accipitriformes","Accipitridae","Accipiter"
"3","Accipiter Gentilis","10","Aves","Accipitriformes","Accipitridae","Accipiter"
"4","Accipiter nisus","53","Aves","Accipitriformes","Accipitridae","Accipiter"
"5","Accipitridae","317","Aves","Accipitriformes","Accipitridae",NA
"6","Accipitridae","231","Aves","Accipitriformes","Accipitridae",NA
"7","Accipitridae","26","Aves","Accipitriformes","Accipitridae",NA
"8","Aechmophorus occidentalis","3","Aves","Podicipediformes","Podicipedidae","Aechmophorus"
"9","Agapornis personatus","1","Aves","Psittaciformes","Psittacidae","Agapornis"
"10","Agapornis roseicollis","1","Aves","Psittaciformes","Psittacidae","Agapornis"
"11","Aix galericulata","2","Aves","Anseriformes","Anatidae","Aix"
"12","Aixnsa","2","Aves","Anseriformes","Anatidae","Aix"
"13","Alca torda","20","Aves","Charadriiformes","Alcidae","Alca"
"14","Alcidae","4","Aves","Charadriiformes","Alcidae",NA
"15","Alectoris rufa","1","Aves","Galliformes","Phasianidae","Alectoris"
"16","Alle alle","2","Aves","Charadriiformes","Alcidae","Alle"
"17","Alopochen aegyptiaca","11","Aves","Anseriformes","Anatidae","Alopochen"
"18","Anas acuta","5","Aves","Anseriformes","Anatidae","Anas"
"19","Anas bernieri","1","Aves","Anseriformes","Anatidae","Anas"
"20","Anas clypeata","2","Aves","Anseriformes","Anatidae","Spatula"
"21","Anas crecca","44","Aves","Anseriformes","Anatidae","Anas"
"22","Anas penelope","78","Aves","Anseriformes","Anatidae","Mareca"
"23","Anas platyrhynchos","187","Aves","Anseriformes","Anatidae","Anas"
"24","Anas querquedula","1","Aves","Anseriformes","Anatidae","Spatula"
"25","Anas rhynchotis","1","Aves","Anseriformes","Anatidae","Spatula"
"26","Anas strepera","11","Aves","Anseriformes","Anatidae","Mareca"
"27","Anas versicolor","1","Aves","Anseriformes","Anatidae","Spatula"
"28","Anatidae","1260","Aves","Anseriformes","Anatidae",NA
"29","Anatidae","1083","Aves","Anseriformes","Anatidae",NA
"30","Anser albifrons","50","Aves","Anseriformes","Anatidae","Anser"
"31","Anser anser","489","Aves","Anseriformes","Anatidae","Anser"
"32","Anser brachyrhynchus","130","Aves","Anseriformes","Anatidae","Anser"
"33","Anser erythropus","3","Aves","Anseriformes","Anatidae","Anser"
"34","Anser fabalis","18","Aves","Anseriformes","Anatidae","Anser"
"35","Anserinae","370","Aves","Anseriformes","Anatidae",NA
"36","Anserinae","155","Aves","Anseriformes","Anatidae",NA
"37","Aquila audax","1","Aves","Accipitriformes","Accipitridae","Aquila"
"38","Aquila chrysaetos","4","Aves","Accipitriformes","Accipitridae","Aquila"
"39","Aquila fasciata","1","Aves","Accipitriformes","Accipitridae","Aquila"
"40","Aquila heliaca","2","Aves","Accipitriformes","Accipitridae","Aquila"
"41","Aquila nipalensis","1","Aves","Accipitriformes","Accipitridae","Aquila"
"42","Ara ararauna","1","Aves","Psittaciformes","Psittacidae","Ara"
"43","Ara macao","1","Aves","Psittaciformes","Psittacidae","Ara"
"44","Aratinga auricapillus","1","Aves","Psittaciformes","Psittacidae","Aratinga"
"45","Arctic Skua","3","Aves","Charadriiformes","Stercorariidae","Stercorarius"
"46","Arctic Tern","4","Aves","Charadriiformes","Laridae","Sterna"
"47","Ardea alba","25","Aves","Pelecaniformes","Ardeidae","Ardea"
"48","Ardea cinerea","87","Aves","Pelecaniformes","Ardeidae","Ardea"
"49","Ardea herodias","5","Aves","Pelecaniformes","Ardeidae","Ardea"
"50","Ardeidae","48","Aves","Pelecaniformes","Ardeidae",NA
"51","Ardeidae","11","Aves","Pelecaniformes","Ardeidae",NA
"52","Arenaria interpres","1","Aves","Charadriiformes","Scolopacidae","Arenaria"
"53","Armenian Gull","1","Aves","Charadriiformes","Laridae","Larus"
"54","Asio flammeus","3","Aves","Strigiformes","Strigidae","Asio"
"55","Asio otus","8","Aves","Strigiformes","Strigidae","Asio"
"56","Athene noctua","3","Aves","Strigiformes","Strigidae","Athene"
"57","Atlantic Puffin","2","Aves","Charadriiformes","Alcidae","Fratercula"
"58","Aythya ferina","9","Aves","Anseriformes","Anatidae","Aythya"
"59","Aythya fuligula","83","Aves","Anseriformes","Anatidae","Aythya"
"60","Aythya marila","2","Aves","Anseriformes","Anatidae","Aythya"
"61","Balearica regulorum","2","Aves","Gruiformes","Gruidae","Balearica"
"62","Barn Owl","6","Aves","Strigiformes","Tytonidae","Tyto"
"63","Barnacle Goose","308","Aves","Anseriformes","Anatidae","Branta"
"64","Bean Goose","13","Aves","Anseriformes","Anatidae","Anser"
"65","Bearded Vulture","5","Aves","Accipitriformes","Accipitridae","Gypaetus"
"66","Black-Faced Spoonbill","1","Aves","Pelecaniformes","Threskiornithidae","Platalea"
"67","Black-Legged Kittiwake","38","Aves","Charadriiformes","Laridae","Rissa"
"68","Black-Necked Grebe","1","Aves","Podicipediformes","Podicipedidae","Podiceps"
"69","Black Backed Gull","4","Aves","Charadriiformes","Laridea","Larus"
"70","Black Headed Gull","855","Aves","Charadriiformes","Laridae","Chroicocephalus"
"71","Black Swan","10","Aves","Anseriformes","Anatidae","Cygnus"
"72","Botaurus stellaris","1","Aves","Pelecaniformes","Ardeidae","Botaurus"
"73","Branta bernicla","18","Aves","Anseriformes","Anatidae","Branta"
"74","Branta canadensis","284","Aves","Anseriformes","Anatidae","Branta"
"75","Branta leucopsis","431","Aves","Anseriformes","Anatidae","Branta"
"76","Branta ruficollis","1","Aves","Anseriformes","Anatidae","Branta"
"77","Brent Goose","18","Aves","Anseriformes","Anatidea","Branta"
"78","Brown-Headed Gull","16","Aves","Charadriiformes","Laridae","Chroicocephalus"
"79","Bubo bubo","28","Aves","Strigiformes","Strigidae","Bubo"
"80","Bubulcus ibis","5","Aves","Pelecaniformes","Ardeidae","Bubulcus"
"81","Bucephala clangula","3","Aves","Anseriformes","Anatidae","Bucephala"
"82","Buteo buteo","571","Aves","Accipitriformes","Accipitridae","Buteo"
"83","Buteo lagopus","5","Aves","Accipitriformes","Accipitridae","Buteo"
"84","Buzzard","296","Aves","Accipitriformes","Accipitridae",""
"85","Cacatua ducorpsii","1","Aves","Psittaciformes","Cacatuidae","Cacatua"
"86","Cackling Goose","1","Aves","Anseriformes","Anatidae","Branta"
"87","Cairina moschata","9","Aves","Anseriformes","Anatidae","Cairina"
"88","Calidris alba","9","Aves","Charadriiformes","Scolopacidae","Calidris"
"89","Calidris alpina","1","Aves","Charadriiformes","Scolopacidae","Calidris"
"90","Calidris canutus","5","Aves","Charadriiformes","Scolopacidae","Calidris"
"91","Calidris fuscicollis","1","Aves","Charadriiformes","Scolopacidae","Calidris"
"92","Calidris maritima","2","Aves","Charadriiformes","Scolopacidae","Calidris"
"93","Calidris pusilla","2","Aves","Charadriiformes","Scolopacidae","Calidris"
"94","Canada Goose","125","Aves","Anseriformes","Anatidae","Branta"
"95","Cape Gannet Shy Albatross","1","Aves","Procellariiformes","Diomedeidae",""
"96","Carduelis carduelis","1","Aves","Passeriformes","Fringillidae","Carduelis"
"97","Carduelis chloris","1","Aves","Passeriformes","Fringillidae","Chloris"
"98","Caspian Gull","5","Aves","Charadriiformes","Laridae","Larus"
"99","Casuariidae","2","Aves","Casuariiformes","Casuariidae",NA
"100","Cattle Egret","2","Aves","Pelecaniformes","Ardeidae","Bubulcus"
"101","Cepphus grylle","16","Aves","Charadriiformes","Alcidae","Cepphus"
"102","Charadriidae","60","Aves","Charadriiformes","Charadriidae",NA
"103","Charadriidae","55","Aves","Charadriiformes","Charadriidae",NA
"104","Charadrius hiaticula","2","Aves","Charadriiformes","Charadriidae","Charadrius"
"105","Charadrius Pallidus","3","Aves","Charadriiformes","Charadriidae","Charadrius"
"106","Chenonetta jubata","1","Aves","Anseriformes","Anatidae","Chenonetta"
"107","Chilean Flamingo","1","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus"
"108","Chroicocephalus cirrocephalus","9","Aves","Charadriiformes","Laridae","Chroicocephalus"
"109","Chroicocephalus ridibundus","1045","Aves","Charadriiformes","Laridae","Chroicocephalus"
"110","Ciconia ciconia","76","Aves","Ciconiiformes","Ciconiidae","Ciconia"
"111","Ciconiidae","20","Aves","Ciconiiformes","Ciconiidae",NA
"112","Ciconiidae","8","Aves","Ciconiiformes","Ciconiidae",NA
"113","Circus aeruginosus","3","Aves","Accipitriformes","Accipitridae","Circus"
"114","Circus assimilis","1","Aves","Accipitriformes","Accipitridae","Circus"
"115","Circus cyaneus","3","Aves","Accipitriformes","Accipitridae","Circus"
"116","Circus pygargus","2","Aves","Accipitriformes","Accipitridae","Circus"
"117","Clanga pomarina","1","Aves","Accipitriformes","Accipitridae","Clanga"
"118","Cockatiel","2","Aves","Psittaciformes","Cacatuidae","Nymphicus"
"119","Colinus virginianus","1","Aves","Galliformes","Odontophoridae","Colinus"
"120","Columba livia","15","Aves","Columbiformes","Columbidae","Columba"
"121","Columba palumbus","15","Aves","Columbiformes","Columbidae","Columba"
"122","Columbidae","11","Aves","Columbiformes","Columbidae",NA
"123","Columbidae","4","Aves","Columbiformes","Columbidae",NA
"124","Common Coot","8","Aves","Gruiformes","Rallidae","Fulica"
"125","Common Eider","14","Aves","Anseriformes","Anatidae","Somateria"
"126","Common Goldeneye","2","Aves","Anseriformes","Anatidae","Bucephala"
"127","Common Kestrel","32","Aves","Falconiformes","Falconidae","Falco"
"128","Common Loon","1","Aves","Gaviiformes","Gaviidae","Gavia"
"129","Common Moorhen","8","Aves","Gruiformes","Rallidae","Gallinula"
"130","Common Murre","40","Aves","Charadriiformes","Alcidae","Uria"
