Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
336807,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Poland,Kujawsko-Pomorskie,wiecie,53.411174,18.428914,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),01/12/2022,05/12/2022,,
336804,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Switzerland,Ticino,San Nazzaro,46.132,8.804,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),28/11/2022,02/12/2022,,
336495,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Russian Federation,Khabarovskiy Kray,Bochin,50.59587,136.856188,OIE,Confirmed,Wild,Corvidae (Incognita),22/11/2022,30/11/2022,,
336218,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Slovenia,Podravska,Ptuj,46.40834,15.8783,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),21/11/2022,25/11/2022,,
336386,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Ireland,Laois,Laois,52.811,-7.435,OIE,Confirmed,Wild,Buzzard,21/11/2022,25/11/2022,,
336609,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Deinze,50.99541814,3.499899643,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),18/11/2022,01/12/2022,,
336478,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Berlin,Berlin,52.507,13.337,OIE,Confirmed,Wild,Unspecified Bird,17/11/2022,29/11/2022,,
336479,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Brandenburg,Wittstock/Dosse,53.192,12.465,OIE,Confirmed,Wild,Anatidae (Incognita),17/11/2022,29/11/2022,,
336209,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Region wallonne,Louvain-la-Neuve,50.6657,4.604,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),16/11/2022,25/11/2022,,
336211,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Region wallonne,H?l?cine,50.747573,4.975343,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),16/11/2022,25/11/2022,,
336311,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,Albi (81004),43.92124,2.145584,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),16/11/2022,25/11/2022,,
336313,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,Sauveterre-Saint-Denis (47293),44.15664,0.703748,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),16/11/2022,25/11/2022,,
335953,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Portugal,Leiria,Marinha Grande,39.745522,-8.933476,OIE,Confirmed,Wild,Grey Heron:ardea Cinerea(Ardeidae),15/11/2022,22/11/2022,,
335601,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Romania,Neamt,BATCA DOAMNEI,46.938,26.3315,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),14/11/2022,17/11/2022,,
335605,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Switzerland,Zurich,Seuzach,47.543,8.737,OIE,Confirmed,Wild,Grey Heron:ardea Cinerea(Ardeidae),14/11/2022,18/11/2022,,
336210,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Region wallonne,Seneffe,50.52991,4.238276,OIE,Confirmed,Wild,Black Headed Gull (Chroicocephalus Ridibundus),14/11/2022,25/11/2022,,
336216,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Oostende,51.232028,2.944943,OIE,Confirmed,Wild,Mallard:anas Platyrhynchos(Anatidae),14/11/2022,25/11/2022,,
336312,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,Arles (13004),43.54032,4.751418,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),14/11/2022,25/11/2022,,
336314,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,Nantes (44109),47.24539,-1.578455,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),14/11/2022,25/11/2022,,
336387,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Nordjylland,Hornum,56.8535,9.3857,OIE,Confirmed,Wild,Mallard:anas Platyrhynchos(Anatidae),14/11/2022,25/11/2022,,
335590,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,CASIER,45.60932,12.268936,OIE,Confirmed,Wild,Unspecified Bird,12/11/2022,17/11/2022,,
335795,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Slovenia,Podravska,lake Komarnik,46.5666,15.8108,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),12/11/2022,21/11/2022,,
336208,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Moerbeke Waas,51.173,3.939985,OIE,Confirmed,Wild,Buzzard,12/11/2022,25/11/2022,,
336214,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Keiem,51.08103,2.882115,OIE,Confirmed,Wild,Peregrin Falcon:falco Peregrinus(Falconidae),11/11/2022,25/11/2022,,
336217,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Gent,51.035977,3.719687,OIE,Confirmed,Wild,Grey Heron:ardea Cinerea(Ardeidae),11/11/2022,25/11/2022,,
336388,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Ribe,Gredstedbro,55.3972,8.6611,OIE,Confirmed,Wild,Eurasian Wigeon:anas Penelope(Anatidae),11/11/2022,25/11/2022,,
