species,code
Greater Rhea,grerhe1
White-faced Whistling-Duck,wfwduc1
Black-bellied Whistling-Duck,bbwduc
Fulvous Whistling-Duck,fuwduc
Lesser Whistling-Duck,lewduc1
Bar-headed Goose,bahgoo
Emperor Goose,empgoo
Snow Goose,snogoo
Ross's Goose,rosgoo
Graylag Goose,gragoo
Greater White-fronted Goose,gwfgoo
Taiga Bean-Goose,taibeg1
Pink-footed Goose,pifgoo
Brant,brant
Barnacle Goose,bargoo
Cackling Goose,cacgoo1
Canada Goose,cangoo
Red-breasted Goose,rebgoo1
Mute Swan,mutswa
Black Swan,blkswa
Black-necked Swan,blnswa2
Trumpeter Swan,truswa
Tundra Swan,tunswa
Whooper Swan,whoswa
Coscoroba Swan,cosswa1
Orinoco Goose,origoo1
Andean Goose,andgoo1
Upland Goose,uplgoo1
Ashy-headed Goose,ashgoo1
Egyptian Goose,egygoo
Paradise Shelduck,parshe1
Common Shelduck,comshe
Spur-winged Goose,spwgoo1
Muscovy Duck,musduc
Ringed Teal,rintea1
Wood Duck,wooduc
Mandarin Duck,manduc
Brazilian Teal,bratea1
Garganey,gargan
Silver Teal,siltea1
Blue-winged Teal,buwtea
Cinnamon Teal,cintea
Red Shoveler,redsho1
Northern Shoveler,norsho
Gadwall,gadwal
Eurasian Wigeon,eurwig
American Wigeon,amewig
Chiloe Wigeon,chiwig1
African Black Duck,afbduc1
Pacific Black Duck,pabduc1
Indian Spot-billed Duck,isbduc1
Eastern Spot-billed Duck,spbduc
Mallard,mallar3
American Black Duck,ambduc
White-cheeked Pintail,whcpin
Red-billed Duck,rebduc1
Northern Pintail,norpin
Yellow-billed Pintail,yebpin1
Green-winged Teal,gnwtea
Yellow-billed Teal,yebtea1
Red-crested Pochard,recpoc
Rosy-billed Pochard,robpoc1
Canvasback,canvas
Redhead,redhea
Common Pochard,compoc
Ring-necked Duck,rinduc
Ferruginous Duck,ferduc
Tufted Duck,tufduc
Greater Scaup,gresca
Lesser Scaup,lessca
Steller's Eider,steeid
King Eider,kineid
Common Eider,comeid
Harlequin Duck,harduc
Surf Scoter,sursco
Velvet Scoter,whwsco3
White-winged Scoter,whwsco2
Common Scoter,blksco1
Black Scoter,blksco2
Long-tailed Duck,lotduc
Bufflehead,buffle
Common Goldeneye,comgol
Barrow's Goldeneye,bargol
Smew,smew
Hooded Merganser,hoomer
Common Merganser,commer
Red-breasted Merganser,rebmer
Black-headed Duck,blhduc1
Ruddy Duck,rudduc
White-headed Duck,whhduc1
Lake Duck,lakduc1
Northern Bobwhite,norbob
California Quail,calqua
Wild Turkey,wiltur
Hazel Grouse,hazgro1
Willow Ptarmigan,wilpta
Rock Ptarmigan,rocpta1
Black Grouse,blagro1
Gray Partridge,grypar
Kalij Pheasant,kalphe
Indian Peafowl,compea
Red Junglefowl,redjun
Black Francolin,blkfra
Common Quail,comqua1
Red-legged Partridge,relpar1
Chukar,chukar
Chilean Flamingo,chifla1
American Flamingo,grefla2
Little Grebe,litgre1
Pied-billed Grebe,pibgre
Horned Grebe,horgre
Red-necked Grebe,rengre
Great Crested Grebe,grcgre1
Eared Grebe,eargre
Rock Pigeon,rocpig
Speckled Pigeon,spepig1
Stock Dove,stodov1
Common Wood-Pigeon,cowpig1
European Turtle-Dove,eutdov
Oriental Turtle-Dove,ortdov
Eurasian Collared-Dove,eucdov
Red Collared-Dove,recdov1
Ruddy Ground Dove,rugdov
Mourning Dove,moudov
Black-bellied Sandgrouse,blbsan1
Great Spotted Cuckoo,grscuc1
Yellow-billed Cuckoo,yebcuc
Black-billed Cuckoo,bkbcuc
Common Cuckoo,comcuc
Oriental Cuckoo,oricuc2
Common Nighthawk,comnig
