GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1408495335	2022-04-29 18:30:39.479487	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			B	L17937964	P	32.1761960	-86.3521210	2022-04-29	16:05:00	obsr2929208	S108412716	Traveling	P22	EBIRD	84	1.305		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1406077901	2022-04-27 12:30:42.055848	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2022-04-26	17:00:00	obsr106380	S108209563	Traveling	P22	EBIRD	60	1.609		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1401854254	2022-04-23 22:11:46.383377	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Old Pike Rd, Montgomery County AL	L18656953	P	32.3104090	-86.1010110	2022-04-23	17:19:00	obsr527452	S107858673	Traveling	P22	EBIRD	6	9.740		4	1	G8230647	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1414367166	2022-05-04 09:36:46.461973	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Ramer, Alabama, US (32.106, -86.025)	L18839420	P	32.1057265	-86.0246692	2022-04-28	06:17:00	obsr1095129	S108900410	Traveling	P22	EBIRD	35	0.306		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1395326171	2022-04-17 14:31:51.742159	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			70–98 Boardwalk, Pike Road US-AL 32.34562, -86.03291	L18556586	P	32.3456180	-86.0329100	2022-04-17	12:29:00	obsr2935536	S107309707	Stationary	P21	EBIRD	61			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1401854268	2022-04-23 22:11:46.383377	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Old Pike Rd, Montgomery County AL	L18656953	P	32.3104090	-86.1010110	2022-04-23	17:19:00	obsr402712	S107858674	Traveling	P22	EBIRD	6	9.740		4	1	G8230647	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1381086440	2022-04-02 16:49:23.940019	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				12					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The National Memorial For Peace And Justice	L13946863	H	32.3718558	-86.3137808	2022-04-02	15:31:00	obsr979173	S106118483	Traveling	P22	EBIRD	35	0.225		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1402674634	2022-04-24 13:52:25.414011	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Mason mill	L13800298	P	32.3351544	-86.0373657	2022-04-23	08:30:00	obsr658500	S107924718	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1399866645	2022-04-22 10:14:05.50377	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Rudder Rd., Hope Hull	L982093	H	32.2531502	-86.3512194	2022-04-22	09:02:00	obsr143232	S107688398	Traveling	P22	EBIRD	11	0.572		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1398571080	2022-04-20 21:27:18.377904	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			home - back yard	L8643237	P	32.0492756	-86.2220963	2022-04-19	09:08:00	obsr688433	S107583088	Stationary	P21	EBIRD	180			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1411953259	2022-05-02 08:19:27.923333	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Old Pike Rd, Montgomery County AL	L18656953	P	32.3104090	-86.1010110	2022-04-23	17:19:00	obsr157121	S108701168	Traveling	P22	EBIRD	6	9.740		4	1	G8230647	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1384734633	2022-04-06 17:22:51.614557	31551	species	avibase-C9ABA616	American Goldfinch	Spinus tristis				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-03	13:30:00	obsr940190	S106421482	Incidental	P20	EBIRD				2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1390896707	2022-04-13 10:46:02.424492	31551	species	avibase-C9ABA616	American Goldfinch	Spinus tristis				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34045, -86.18370	L10967029	P	32.3404500	-86.1837040	2022-04-13	09:41:00	obsr698531	S106936700	Stationary	P21	EBIRD	10			1	1		0	1	0			Male	
URN:CornellLabOfOrnithology:EBIRD:OBS1407322575	2022-04-28 16:33:05.335846	31551	species	avibase-C9ABA616	American Goldfinch	Spinus tristis				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2022-04-13	11:41:00	obsr456189	S108312967	Traveling	P22	EBIRD	61	4.380		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1380928711	2022-04-02 14:19:13.01671	31551	species	avibase-C9ABA616	American Goldfinch	Spinus tristis				7					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34045, -86.18369	L11676932	P	32.3404500	-86.1836880	2022-04-02	13:15:00	obsr698531	S106103309	Stationary	P21	EBIRD	10			1	1		0	1	0			2female and 5 males nearly in full summer plumage	
URN:CornellLabOfOrnithology:EBIRD:OBS1408495337	2022-04-29 18:30:39.481385	11494	species	avibase-20C2214E	American Kestrel	Falco sparverius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			B	L17937964	P	32.1761960	-86.3521210	2022-04-29	16:05:00	obsr2929208	S108412716	Traveling	P22	EBIRD	84	1.305		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1392634232	2022-04-15 09:08:43.99878	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-15	07:56:00	obsr665305	S107081734	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 55 degrees mostly sunny.		
URN:CornellLabOfOrnithology:EBIRD:OBS1389939261	2022-04-12 09:50:18.452495	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-12	08:38:00	obsr665305	S106857084	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 65 degrees mostly sunny.		
URN:CornellLabOfOrnithology:EBIRD:OBS1408469184	2022-04-29 18:06:00.970154	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-29	16:42:00	obsr665305	S108409715	Stationary	P21	EBIRD	9			1	1		0	1	0		Four or five White-winged Doves flushed from tree as Cooper’s Hawk flew in.  He chased one but gave up quickly.		
URN:CornellLabOfOrnithology:EBIRD:OBS1401681219	2022-04-23 19:14:44.997364	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				6					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2022-04-23	12:11:00	obsr149533	S107843743	Traveling	P22	EBIRD	100	2.500		2	1	G8229322	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1380248607	2022-04-01 19:30:36.642398	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2022-04-01	17:34:00	obsr186678	S106046064	Traveling	P22	EBIRD	45	3.663		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1404904568	2022-04-26 11:01:49.431314	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-26	09:46:00	obsr665305	S108111184	Stationary	P21	EBIRD	11			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1390003066	2022-04-12 11:12:32.155758	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34045, -86.18370	L10967029	P	32.3404500	-86.1837040	2022-04-12	10:09:00	obsr698531	S106863265	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1405810314	2022-04-27 08:31:06.210548	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34049, -86.18374	L16586046	P	32.3404870	-86.1837440	2022-04-27	07:27:00	obsr698531	S108187182	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1389136292	2022-04-11 11:47:45.791676	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				4					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34047, -86.18369	L13538170	P	32.3404660	-86.1836940	2022-04-11	10:44:00	obsr698531	S106790830	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1406979102	2022-04-28 10:59:27.838296	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				3	FL	C4	FL		United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-28	08:44:00	obsr665305	S108283927	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch.	1 recently fledged.	
URN:CornellLabOfOrnithology:EBIRD:OBS1404432739	2022-04-25 20:52:20.300344	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2022-04-25	15:10:00	obsr106380	S108074389	Traveling	P22	EBIRD	180	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1398927980	2022-04-21 10:51:59.217295	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-21	09:42:00	obsr665305	S107611579	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 70 degrees sunny with a sprinkling of clouds. Feeders empty.		
