"","common_name","common_code","sci_name","sci_code"
"1","Greater Rhea","grerhe1","Rhea americana","grerhe1"
"2","White-faced Whistling-Duck","wfwduc1","Dendrocygna viduata","wfwduc1"
"3","Black-bellied Whistling-Duck","bbwduc","Dendrocygna autumnalis","bbwduc"
"4","Fulvous Whistling-Duck","fuwduc","Dendrocygna bicolor","fuwduc"
"5","Lesser Whistling-Duck","lewduc1","Dendrocygna javanica","lewduc1"
"6","Bar-headed Goose","bahgoo","Anser indicus","bahgoo"
"7","Emperor Goose","empgoo","Anser canagicus","empgoo"
"8","Snow Goose","snogoo","Anser caerulescens","snogoo"
"9","Ross's Goose","rosgoo","Anser rossii","rosgoo"
"10","Graylag Goose","gragoo","Anser anser","gragoo"
"11","Greater White-fronted Goose","gwfgoo","Anser albifrons","gwfgoo"
"12","Taiga Bean-Goose","taibeg1","Anser fabalis","taibeg1"
"13","Pink-footed Goose","pifgoo","Anser brachyrhynchus","pifgoo"
"14","Brant","brant","Branta bernicla","brant"
"15","Barnacle Goose","bargoo","Branta leucopsis","bargoo"
"16","Cackling Goose","cacgoo1","Branta hutchinsii","cacgoo1"
"17","Canada Goose","cangoo","Branta canadensis","cangoo"
"18","Red-breasted Goose","rebgoo1","Branta ruficollis","rebgoo1"
"19","Mute Swan","mutswa","Cygnus olor","mutswa"
"20","Black Swan","blkswa","Cygnus atratus","blkswa"
"21","Black-necked Swan","blnswa2","Cygnus melancoryphus","blnswa2"
"22","Trumpeter Swan","truswa","Cygnus buccinator","truswa"
"23","Tundra Swan","tunswa","Cygnus columbianus","tunswa"
"24","Whooper Swan","whoswa","Cygnus cygnus","whoswa"
"25","Coscoroba Swan","cosswa1","Coscoroba coscoroba","cosswa1"
"26","Orinoco Goose","origoo1","Oressochen jubatus","origoo1"
"27","Andean Goose","andgoo1","Oressochen melanopterus","andgoo1"
"28","Upland Goose","uplgoo1","Chloephaga picta","uplgoo1"
"29","Ashy-headed Goose","ashgoo1","Chloephaga poliocephala","ashgoo1"
"30","Egyptian Goose","egygoo","Alopochen aegyptiaca","egygoo"
"31","Paradise Shelduck","parshe1","Tadorna variegata","parshe1"
"32","Common Shelduck","comshe","Tadorna tadorna","comshe"
"33","Spur-winged Goose","spwgoo1","Plectropterus gambensis","spwgoo1"
"34","Crested Duck","creduc1","Lophonetta specularioides","creduc1"
"35","Muscovy Duck","musduc","Cairina moschata","musduc"
"36","Ringed Teal","rintea1","Callonetta leucophrys","rintea1"
"37","Wood Duck","wooduc","Aix sponsa","wooduc"
"38","Mandarin Duck","manduc","Aix galericulata","manduc"
"39","Brazilian Teal","bratea1","Amazonetta brasiliensis","bratea1"
"40","Garganey","gargan","Spatula querquedula","gargan"
"41","Silver Teal","siltea1","Spatula versicolor","siltea1"
"42","Blue-winged Teal","buwtea","Spatula discors","buwtea"
"43","Cinnamon Teal","cintea","Spatula cyanoptera","cintea"
"44","Red Shoveler","redsho1","Spatula platalea","redsho1"
"45","Australasian Shoveler",NA,"Spatula rhynchotis",NA
"46","Northern Shoveler","norsho","Spatula clypeata","norsho"
"47","Gadwall","gadwal","Mareca strepera","gadwal"
"48","Eurasian Wigeon","eurwig","Mareca penelope","eurwig"
