"","common_name","common_code","sci_name","sci_code"
"1","Greater Rhea",NA,"Rhea americana",NA
"2","White-faced Whistling-Duck",NA,"Dendrocygna viduata",NA
"3","Black-bellied Whistling-Duck","bbwduc","Dendrocygna autumnalis","bbwduc"
"4","Fulvous Whistling-Duck","fuwduc","Dendrocygna bicolor","fuwduc"
"5","Lesser Whistling-Duck",NA,"Dendrocygna javanica",NA
"6","Bar-headed Goose",NA,"Anser indicus",NA
"7","Emperor Goose","empgoo","Anser canagicus","empgoo"
"8","Snow Goose","snogoo","Anser caerulescens","snogoo"
"9","Ross's Goose","rosgoo","Anser rossii","rosgoo"
"10","Graylag Goose",NA,"Anser anser",NA
"11","Greater White-fronted Goose","gwfgoo","Anser albifrons","gwfgoo"
"12","Taiga Bean-Goose",NA,"Anser fabalis",NA
"13","Pink-footed Goose",NA,"Anser brachyrhynchus",NA
"14","Brant","brant","Branta bernicla","brant"
"15","Barnacle Goose",NA,"Branta leucopsis",NA
"16","Cackling Goose","cacgoo1","Branta hutchinsii","cacgoo1"
"17","Canada Goose","cangoo","Branta canadensis","cangoo"
"18","Red-breasted Goose",NA,"Branta ruficollis",NA
"19","Mute Swan","mutswa","Cygnus olor","mutswa"
"20","Black Swan","blkswa","Cygnus atratus","blkswa"
"21","Black-necked Swan","blnswa2","Cygnus melancoryphus","blnswa2"
"22","Trumpeter Swan","truswa","Cygnus buccinator","truswa"
"23","Tundra Swan","tunswa","Cygnus columbianus","tunswa"
"24","Whooper Swan","whoswa","Cygnus cygnus","whoswa"
"25","Coscoroba Swan","cosswa1","Coscoroba coscoroba","cosswa1"
"26","Orinoco Goose",NA,"Oressochen jubatus",NA
"27","Andean Goose","andgoo1","Oressochen melanopterus","andgoo1"
"28","Upland Goose","uplgoo1","Chloephaga picta","uplgoo1"
"29","Ashy-headed Goose",NA,"Chloephaga poliocephala",NA
"30","Egyptian Goose","egygoo","Alopochen aegyptiaca","egygoo"
"31","Paradise Shelduck","parshe1","Tadorna variegata","parshe1"
"32","Common Shelduck",NA,"Tadorna tadorna",NA
"33","Spur-winged Goose",NA,"Plectropterus gambensis",NA
"34","Crested Duck",NA,"Lophonetta specularioides",NA
"35","Muscovy Duck","musduc","Cairina moschata","musduc"
"36","Ringed Teal",NA,"Callonetta leucophrys",NA
"37","Wood Duck","wooduc","Aix sponsa","wooduc"
"38","Mandarin Duck",NA,"Aix galericulata",NA
"39","Brazilian Teal","bratea1","Amazonetta brasiliensis","bratea1"
"40","Garganey",NA,"Spatula querquedula",NA
"41","Silver Teal","siltea1","Spatula versicolor","siltea1"
"42","Blue-winged Teal","buwtea","Spatula discors","buwtea"
"43","Cinnamon Teal","cintea","Spatula cyanoptera","cintea"
"44","Red Shoveler","redsho1","Spatula platalea","redsho1"
"45","Australasian Shoveler","aussho1","Spatula rhynchotis","aussho1"
"46","Northern Shoveler","norsho","Spatula clypeata","norsho"
"47","Gadwall","gadwal","Mareca strepera","gadwal"
"48","Eurasian Wigeon",NA,"Mareca penelope",NA
"49","American Wigeon","amewig","Mareca americana","amewig"
"50","Chiloe Wigeon","chiwig1","Mareca sibilatrix","chiwig1"
"51","African Black Duck",NA,"Anas sparsa",NA
"52","Yellow-billed Duck","yebduc1","Anas undulata","yebduc1"
"53","Pacific Black Duck",NA,"Anas superciliosa",NA
"54","Indian Spot-billed Duck",NA,"Anas poecilorhyncha",NA
"55","Eastern Spot-billed Duck","spbduc","Anas zonorhyncha","spbduc"
"56","Mallard","mallar3","Anas platyrhynchos","mallar3"
"57","American Black Duck","ambduc","Anas rubripes","ambduc"
"58","White-cheeked Pintail","whcpin","Anas bahamensis","whcpin"
"59","Red-billed Duck",NA,"Anas erythrorhyncha",NA
"60","Northern Pintail","norpin","Anas acuta","norpin"
"61","Yellow-billed Pintail","yebpin1","Anas georgica","yebpin1"
"62","Green-winged Teal","gnwtea","Anas crecca","gnwtea"
"63","Yellow-billed Teal","yebtea1","Anas flavirostris","yebtea1"
"64","Red-crested Pochard",NA,"Netta rufina",NA
"65","Rosy-billed Pochard",NA,"Netta peposaca",NA
"66","Canvasback","canvas","Aythya valisineria","canvas"
"67","Redhead","redhea","Aythya americana","redhea"
"68","Common Pochard",NA,"Aythya ferina",NA
"69","Ring-necked Duck","rinduc","Aythya collaris","rinduc"
"70","Ferruginous Duck",NA,"Aythya nyroca",NA
"71","Tufted Duck",NA,"Aythya fuligula",NA
"72","Greater Scaup","gresca","Aythya marila","gresca"
"73","Lesser Scaup","lessca","Aythya affinis","lessca"
"74","Steller's Eider","steeid","Polysticta stelleri","steeid"
"75","King Eider","kineid","Somateria spectabilis","kineid"
"76","Common Eider","comeid","Somateria mollissima","comeid"
"77","Harlequin Duck","harduc","Histrionicus histrionicus","harduc"
"78","Surf Scoter","sursco","Melanitta perspicillata","sursco"
"79","Velvet Scoter",NA,"Melanitta fusca",NA
"80","White-winged Scoter","whwsco2","Melanitta deglandi","whwsco2"
"81","Common Scoter",NA,"Melanitta nigra",NA
"82","Black Scoter","blksco2","Melanitta americana","blksco2"
"83","Long-tailed Duck","lotduc","Clangula hyemalis","lotduc"
"84","Bufflehead","buffle","Bucephala albeola","buffle"
"85","Common Goldeneye","comgol","Bucephala clangula","comgol"
