"","observation.date","Species","Country","Serotype","source","flu","geometry","X","Y"
"1",2023-07-27,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Latvia","H5N1 HPAI","fao",1,c(5233235.88559809, 3922074.76774688),5233235.88559809,3922074.76774688
"2",2023-07-26,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,c(4388005.03283061, 3019081.93312325),4388005.03283061,3019081.93312325
"3",2023-07-24,"Nyctereutes Viverrinus (Japanese Racoon Dog)","Finland","H5N1 HPAI","fao",1,c(5010076.54636797, 4565614.00158904),5010076.54636797,4565614.00158904
"4",2023-07-24,"Polar Fox","Finland","H5N1 HPAI","fao",1,c(5010076.54636797, 4565614.00158904),5010076.54636797,4565614.00158904
"6",2023-07-21,"Polar Fox","Finland","H5N1 HPAI","fao",1,c(5004686.0132187, 4568063.55111762),5004686.0132187,4568063.55111762
"7",2023-07-21,"Red Fox","Finland","H5N1 HPAI","fao",1,c(5011918.44405395, 4566259.00000977),5011918.44405395,4566259.00000977
"8",2023-07-21,"Polar Fox","Finland","H5N1 HPAI","fao",1,c(5011918.44405395, 4566259.00000977),5011918.44405395,4566259.00000977
"9",2023-07-21,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4221781.62869547, 3424688.71148656),4221781.62869547,3424688.71148656
"10",2023-07-20,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Latvia","H5N1 HPAI","fao",1,c(5185033.07296436, 3882598.38908097),5185033.07296436,3882598.38908097
"11",2023-07-20,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Latvia","H5N1 HPAI","fao",1,c(5004961.80371661, 3768217.28867444),5004961.80371661,3768217.28867444
"12",2023-07-20,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Latvia","H5N1 HPAI","fao",1,c(5177665.20329663, 3847437.87641059),5177665.20329663,3847437.87641059
"13",2023-07-20,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4247967.82342209, 3501010.82719614),4247967.82342209,3501010.82719614
"14",2023-07-20,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4289474.52367886, 3484966.16294126),4289474.52367886,3484966.16294126
"15",2023-07-19,"Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes","Norway","H5N1 HPAI","fao",1,c(4379906.7786556, 4639648.04692633),4379906.7786556,4639648.04692633
"16",2023-07-19,"Red Fox","Finland","H5N1 HPAI","fao",1,c(4999067.65893649, 4563240.30377371),4999067.65893649,4563240.30377371
"17",2023-07-19,"Polar Fox","Finland","H5N1 HPAI","fao",1,c(4999067.65893649, 4563240.30377371),4999067.65893649,4563240.30377371
