genus,total_count,order
Anas,25993,anseriformes
Env,2974,environmental
Larus,2831,charadriiformes
Arenaria,1825,charadriiformes
Anser,1092,anseriformes
,581,
Charadriiformes,351,charadriiformes
Charadrii,338,charadriiformes
Branta,284,anseriformes
Calidris,280,charadriiformes
Chroicocephalus,274,charadriiformes
Dendrocygna,242,anseriformes
Aythya,194,anseriformes
Bucephala,164,anseriformes
Ardeola,123,pelecaniformes
Leucophaeus,100,charadriiformes
Chen,97,anseriformes
Cygnus,88,anseriformes
Somateria,74,anseriformes
Tadorna,67,anseriformes
Porzana,60,gruiformes
Aix,59,anseriformes
Andropadus,54,passeriformes
Melanitta,54,anseriformes
Tringa,41,charadriiformes
Bubulcus,39,pelecaniformes
Fulica,38,gruiformes
Phalacrocorax,36,suliformes
Pycnonotus,36,passeriformes
Gallus,35,galliformes
Passer,34,passeriformes
Clangula,32,anseriformes
Ploceus,30,passeriformes
Cyanomitra,26,passeriformes
Recurvirostra,24,charadriiformes
Scolopacidae,24,charadriiformes
Uria,24,charadriiformes
Lonchura,23,passeriformes
Acridotheres,21,passeriformes
Egretta,16,pelecaniformes
Gallicrex,16,gruiformes
Rostratula,16,charadriiformes
Streptopelia,16,columbiformes
Columba,15,columbiformes
Gallinula,15,gruiformes
Rissa,13,charadriiformes
Cinnyris,12,passeriformes
Turnix,12,charadriiformes
Melospiza,11,passeriformes
Rynchops,11,charadriiformes
Spermophaga,11,passeriformes
Cairina,10,anseriformes
Netta,10,anseriformes
Rhipidura,10,passeriformes
Alethe,9,passeriformes
Amaurornis,9,gruiformes
Ardea,9,pelecaniformes
Charadrius,9,charadriiformes
Dendroica,9,passeriformes
Environmental,9,environmental
Haematopus,9,charadriiformes
Numenius,9,charadriiformes
Oreothlypis,9,passeriformes
Oxyura,9,anseriformes
Podiceps,9,podicipediformes
Aves,8,NA
Gallirallus,8,gruiformes
Alopochen,7,anseriformes
Ixobrychus,7,pelecaniformes
Prinia,7,passeriformes
Anastomus,6,ciconiiformes
Cepphus,6,charadriiformes
Gallinago,6,charadriiformes
Geopelia,6,columbiformes
Limosa,6,charadriiformes
Lophodytes,6,anseriformes
Acrocephalus,5,passeriformes
Alca,5,charadriiformes
Alcedo,5,coraciiformes
Empidonax,5,passeriformes
Fratercula,5,charadriiformes
Ispidina,5,coraciiformes
Sterna,5,charadriiformes
Alle,4,charadriiformes
Apus,4,apodiformes
Calcarius,4,passeriformes
Corvus,4,passeriformes
Coturnix,4,galliformes
Crypsirina,4,passeriformes
Junco,4,passeriformes
Malacorhynchus,4,anseriformes
Muscicapa,4,passeriformes
Nycticorax,4,pelecaniformes
Pluvialis,4,charadriiformes
Amazonetta,3,anseriformes
Bleda,3,passeriformes
Buteo,3,accipitriformes
Camaroptera,3,passeriformes
Cisticola,3,passeriformes
Elminia,3,passeriformes
Estrilda,3,passeriformes
Fraseria,3,passeriformes
Gavia,3,gaviiformes
Halcyon,3,coraciiformes
Hedydipna,3,passeriformes
Himantopus,3,charadriiformes
Hirundo,3,passeriformes
Phalaropus,3,charadriiformes
Poecile,3,passeriformes
Puffinus,3,procellariiformes
Saxicola,3,passeriformes
Tachybaptus,3,podicipediformes
Turdus,3,passeriformes
Actitis,2,charadriiformes
Amandava,2,passeriformes
Callonetta,2,anseriformes
Chlidonias,2,charadriiformes
Chlorocichla,2,passeriformes
Cossypha,2,passeriformes
Cypsiurus,2,apodiformes
Dendropicos,2,piciformes
Falco,2,falconiformes
Glareola,2,charadriiformes
Grus,2,gruiformes
Hydrophasianus,2,charadriiformes
Luscinia,2,passeriformes
Nigrita,2,passeriformes
Pelecanus,2,pelecaniformes
Phyllastrephus,2,passeriformes
Phylloscopus,2,passeriformes
Platysteira,2,passeriformes
Plegadis,2,pelecaniformes
Pogoniulus,2,piciformes
Quelea,2,passeriformes
Schistolais,2,passeriformes
Stiphrornis,2,passeriformes
Sturnus,2,passeriformes
Sylvia,2,passeriformes
Thalasseus,2,charadriiformes
Xenus,2,charadriiformes
Aechmophorus,1,podicipediformes
Aegithina,1,passeriformes
Amblyospiza,1,passeriformes
Anabathmis,1,passeriformes
Aquila,1,accipitriformes
Catharus,1,passeriformes
Centropus,1,cuculiformes
Ceyx,1,coraciiformes
Chalcomitra,1,passeriformes
Chrysococcyx,1,cuculiformes
Coloeus,1,passeriformes
Criniger,1,passeriformes
Dicrurus,1,passeriformes
Euplectes,1,passeriformes
Euschistospiza,1,passeriformes
Ficedula,1,passeriformes
Haliaeetus,1,accipitriformes
Hylia,1,passeriformes
Hypothymis,1,passeriformes
Illadopsis,1,passeriformes
Irena,1,passeriformes
Ixonotus,1,passeriformes
Lagonosticta,1,passeriformes
Lanius,1,passeriformes
Limnodromus,1,charadriiformes
Macronyx,1,passeriformes
Macrosphenus,1,passeriformes
Melanerpes-aurifrons,1,piciformes
Melopsittacus,1,psittaciformes
Mergus,1,anseriformes
Merops,1,coraciiformes
Mesophoyx,1,pelecaniformes
Microcarbo,1,suliformes
Morus,1,suliformes
Myiarchus-tyrannulus,1,passeriformes
Nettapus,1,anseriformes
Nicator,1,passeriformes
Ortalis,1,galliformes
Plectrophenax,1,passeriformes
Pyrenestes,1,passeriformes
Rhodonessa,1,anseriformes
Sheppardia,1,passeriformes
Smithornis,1,passeriformes
Terpsiphone,1,passeriformes
Threskiornis,1,pelecaniformes
Timalia,1,passeriformes
Vidua,1,passeriformes
Xema,1,charadriiformes
Zosterops,1,passeriformes
