"Var1","Freq"
"",13134
"H10N4",3
"H10N5",1
"H10N7",10
"H10NY",1
"H11N1",3
"H11N2",1
"H11N9",7
"H12N5",2
"H13N2",3
"H13N3",1
"H13N6",4
"H13N8",16
"H13Nx",14
"H16N2",1
"H16N3",28
"H16N6",5
"H16Nx",8
"H1N1",8
"H1N2",2
"H1N3",1
"H1N6",1
"H1NY",2
"H2N3",2
"H2N5",10
"H2N7",11
"H2N9",3
"H3N1",1
"H3N2",5
"H3N6",3
"H3N8",23
"H3Ny",1
"H4N6",22
"H4N8",1
"H4Nx",2
"H5N1",1
"H5N2",5
"H5N3",2
"H5N6",7
"H5N8",53
"H5Nx",6
"H6N1",3
"H6N2",8
"H6N3",1
"H6N5",3
"H6N7",1
"H6N8",15
"H6Nx",8
"H7N1",1
"H7N2,H7N2",1
"H7N3",4
"H7N5",1
"H7N7",5
"H7Nx",6
"H8N4",2
"H8Nx",1
"HxN1",2
"HxN2",5
"HxN3",3
"HxN6",4
"HxN8",12
"HxNx",452
"HXNX",2
"HxNy",26
"Mixed",2
