"species","freq","order","family","genus"
"Alle alle",4,"Charadriiformes","Alcidae","Alle"
"Alopochen aegyptiaca",1,"Anseriformes","Anatidae","Alopochen"
"Alopochen aegyptiacus",4,"Anseriformes","Anatidae","Alopochen"
"Anas acuta",12,"Anseriformes","Anatidae","Anas"
"Anas clypeata",48,"Anseriformes","Anatidae","Spatula"
"Anas crecca",446,"Anseriformes","Anatidae","Anas"
"Anas penelope",796,"Anseriformes","Anatidae","Mareca"
"Anas platyrhynchos",9270,"Anseriformes","Anatidae","Anas"
"Anas querquedula",2,"Anseriformes","Anatidae","Spatula"
"Anas",12,"Anseriformes","Anatidae","Anas"
"Anas strepera",253,"Anseriformes","Anatidae","Mareca"
"Anser albifrons",816,"Anseriformes","Anatidae","Anser"
"Anser anser",99,"Anseriformes","Anatidae","Anser"
"Anser brachyrhynchus",1,"Anseriformes","Anatidae","Anser"
"Anser fabalis",48,"Anseriformes","Anatidae","Anser"
"Anser fabalis serrirostris",2,"Anseriformes","Anatidae","Anser"
"Aquila heliaca",1,"Accipitriformes","Accipitridae","Aquila"
"Arenaria interpres",32,"Charadriiformes","Scolopacidae","Arenaria"
"Aythya ferina",1,"Anseriformes","Anatidae","Aythya"
"Aythya fuligula",3,"Anseriformes","Anatidae","Aythya"
"Branta bernicla",11,"Anseriformes","Anatidae","Branta"
"Branta leucopsis",237,"Anseriformes","Anatidae","Branta"
"Bucephala clangula",2,"Anseriformes","Anatidae","Bucephala"
"Buteo buteo",3,"Accipitriformes","Accipitridae","Buteo"
"Calcarius lapponicus",4,"Passeriformes","Fringillidae","Calcarius"
"Calidris alba",15,"Charadriiformes","Scolopacidae","Calidris"
"Calidris alpina",4,"Charadriiformes","Scolopacidae","Calidris"
"Cepphus grylle",4,"Charadriiformes","Alcidae","Cepphus"
"Chlidonias niger",1,"Charadriiformes","Laridae","Chlidonias"
"Chroicocephalus ridibundus",228,"Charadriiformes","Laridae","Chroicocephalus"
"Coloeus monedula",1,"Passeriformes","Corvidae","Coloeus"
"Coturnix coturnix",1,"Galliformes","Phasianidae","Coturnix"
"Cygnus atratus",1,"Anseriformes","Anatidae","Cygnus"
"Cygnus bewickii",4,"Anseriformes","Anatidae","Cygnus"
"Cygnus columbianus bewickii",20,"Anseriformes","Anatidae","Cygnus"
"Cygnus olor",28,"Anseriformes","Anatidae","Cygnus"
"Falco peregrinus",2,"Falconiformes","Falconidae","Falco"
"Fulica atra",14,"Gruiformes","Rallidae","Fulica"
"Gallinago gallinago",1,"Charadriiformes","Scolopacidae","Gallinago"
"Gallinula chloropus",6,"Gruiformes","Rallidae","Gallinula"
"Haematopus ostralegus",1,"Charadriiformes","Haematopodidae","Haematopus"
"Larus argentatus",51,"Charadriiformes","Laridae","Larus"
"Larus argentatus cachinnans",1,"Charadriiformes","Laridae","Larus"
"Larus armenicus",42,"Charadriiformes","Laridae","Larus"
"Larus cachinnans",3,"Charadriiformes","Laridae","Larus"
"Larus cachinnans cachinnans",1,"Charadriiformes","Laridae","Larus"
"Larus canus",4,"Charadriiformes","Laridae","Larus"
"Larus fuscus",38,"Charadriiformes","Laridae","Larus"
"Larus glaucoides",4,"Charadriiformes","Laridae","Larus"
"Larus hyperboreus",20,"Charadriiformes","Laridae","Larus"
"Larus marinus",23,"Charadriiformes","Laridae","Larus"
"Larus melanocephalus",5,"Charadriiformes","Laridae","Ichthyaetus"
"Larus michahellis",126,"Charadriiformes","Laridae","Larus"
"Larus ridibundus",1137,"Charadriiformes","Laridae","Chroicocephalus"
"Larus",23,"Charadriiformes","Laridae","Larus"
"Phalacrocorax carbo",1,"Pelecaniformes","Phalacrocoracidae","Phalacrocorax"
"Plectrophenax nivalis",1,"Passeriformes","Fringillidae","Plectrophenax"
"Podiceps cristatus",2,"Podicipediformes","Podicipedidae","Podiceps"
"Porzana parva",1,"Gruiformes","Rallidae","Porzana"
"Rissa tridactyla",10,"Charadriiformes","Laridae","Rissa"
"Somateria mollissima",5,"Anseriformes","Anatidae","Somateria"
"Tachybaptus ruficollis",1,"Podicipediformes","Podicipedidae","Tachybaptus"
"Tadorna tadorna",2,"Anseriformes","Anatidae","Tadorna"
"Tringa glareola",26,"Charadriiformes","Scolopacidae","Tringa"
"Tringa totanus",2,"Charadriiformes","Scolopacidae","Tringa"
"Uria aalge",2,"Charadriiformes","Alcidae","Uria"
"Uria lomvia",3,"Charadriiformes","Alcidae","Uria"
