"","sp_edit","counts","order","family","genus"
"1","Accipiter Gentilis ",10,"Accipitriformes","Accipitridae","Accipiter"
"2","Accipitridae",193,"Accipitriformes","Accipitridae",NA
"3","Anatidae",944,"Anseriformes","Anatidae",NA
"4","Anserinae",154,"Anseriformes","Anatidae",NA
"5","Arctic Skua",1,NA,NA,NA
"6","Arctic Tern",3,"Charadriiformes","Laridae","Sterna"
"7","Ardeidae",6,"Pelecaniformes","Ardeidae",NA
"8","Arenaria Interpres",1,"Charadriiformes","Scolopacidae","Arenaria"
"9","Armenian Gull",1,"Charadriiformes","Laridae","Larus"
"10","Atlantic Puffin",2,"Charadriiformes","Alcidae","Fratercula"
"11","Barn Owl",3,"Strigiformes","Tytonidae","Tyto"
"12","Barnacle Goose",229,"Anseriformes","Anatidae","Branta"
"13","Bean Goose",7,"Anseriformes","Anatidae","Anser"
"14","Bearded Vulture",5,NA,NA,NA
"15","Black-Faced Spoonbill",1,"Pelecaniformes","Threskiornithidae","Platalea"
"16","Black-Headed Gull",2,"Charadriiformes","Laridae","Chroicocephalus"
"17","Black-Legged Kittiwake",5,"Charadriiformes","Laridae","Rissa"
"18","Black-Necked Grebe",1,"Podicipediformes","Podicipedidae","Podiceps"
"19","Black Guillemot",7,NA,NA,NA
"20","Black Headed Gull",66,"Charadriiformes","Laridae","Chroicocephalus"
"21","Black Swan",8,"Anseriformes","Anatidae","Cygnus"
"22","Brent Goose",10,NA,NA,NA
"23","Brown-Headed Gull",2,"Charadriiformes","Laridae","Chroicocephalus"
"24","Buzzard",219,NA,NA,NA
"25","Cackling Goose",1,"Anseriformes","Anatidae","Branta"
"26","Canada Goose",108,"Anseriformes","Anatidae","Branta"
"27","Caspian Gull",1,"Charadriiformes","Laridae","Larus"
"28","Caspian Tern",2,"Charadriiformes","Laridae","Hydroprogne"
"29","Cattle Egret",2,"Pelecaniformes","Ardeidae","Bubulcus"
"30","Charadriidae",43,"Charadriiformes","Charadriidae",NA
"31","Charadrius Pallidus",3,"Charadriiformes","Charadriidae","Charadrius"
"32","Ciconiidae",6,"Ciconiiformes","Ciconiidae",NA
"33","Cockatiel",2,"Psittaciformes","Cacatuidae","Nymphicus"
