"Var1","Var2","Freq"
"Sweden","H10N7 LPAI",1
"Austria","H5 HPAI",7
"Belgium","H5 HPAI",26
"Bulgaria","H5 HPAI",2
"Finland","H5 HPAI",2
"France","H5 HPAI",1
"Germany","H5 HPAI",3
"Greece","H5 HPAI",1
"Italy","H5 HPAI",4
"Netherlands","H5 HPAI",17
"North Macedonia","H5 HPAI",1
"Norway","H5 HPAI",2
"Romania","H5 HPAI",4
"Russian Federation","H5 HPAI",22
"Svalbard and Jan Mayen Islands","H5 HPAI",1
"Sweden","H5 HPAI",8
"Ukraine","H5 HPAI",3
"Denmark","H5 LPAI",2
"Austria","H5N1 HPAI",131
"Belgium","H5N1 HPAI",283
"Bosnia and Herzegovina","H5N1 HPAI",2
"Bulgaria","H5N1 HPAI",8
"Croatia","H5N1 HPAI",20
"Czech Republic","H5N1 HPAI",52
"Denmark","H5N1 HPAI",188
"Estonia","H5N1 HPAI",25
"Faroe Islands","H5N1 HPAI",16
"Finland","H5N1 HPAI",63
"France","H5N1 HPAI",446
"Germany","H5N1 HPAI",1384
"Greece","H5N1 HPAI",35
"Guernsey","H5N1 HPAI",5
"Hungary","H5N1 HPAI",71
"Iceland","H5N1 HPAI",27
"Ireland","H5N1 HPAI",107
"Isle of Man","H5N1 HPAI",7
"Italy","H5N1 HPAI",193
"Latvia","H5N1 HPAI",63
"Lithuania","H5N1 HPAI",47
"Luxembourg","H5N1 HPAI",13
"Montenegro","H5N1 HPAI",4
"Netherlands","H5N1 HPAI",657
"North Macedonia","H5N1 HPAI",3
"Norway","H5N1 HPAI",40
"Poland","H5N1 HPAI",191
"Portugal","H5N1 HPAI",12
"Romania","H5N1 HPAI",68
"Russian Federation","H5N1 HPAI",341
"Serbia","H5N1 HPAI",19
"Slovakia","H5N1 HPAI",15
"Slovenia","H5N1 HPAI",94
"Spain","H5N1 HPAI",120
"Svalbard and Jan Mayen Islands","H5N1 HPAI",4
"Sweden","H5N1 HPAI",165
"Switzerland","H5N1 HPAI",120
"U.K. of Great Britain and Northern Ireland","H5N1 HPAI",769
"Ukraine","H5N1 HPAI",14
"Germany","H5N2 HPAI",1
"Serbia","H5N2 HPAI",1
"Denmark","H5N2 LPAI",2
"Denmark","H5N3 HPAI",2
"France","H5N3 HPAI",2
"Germany","H5N3 HPAI",8
"Ireland","H5N3 HPAI",1
"Netherlands","H5N3 HPAI",1
"U.K. of Great Britain and Northern Ireland","H5N3 HPAI",1
"Germany","H5N4 HPAI",10
"Netherlands","H5N4 HPAI",1
"Sweden","H5N4 HPAI",1
"Switzerland","H5N4 HPAI",2
"Austria","H5N5 HPAI",3
"Belgium","H5N5 HPAI",1
"Czech Republic","H5N5 HPAI",3
"Denmark","H5N5 HPAI",6
"Germany","H5N5 HPAI",23
"Greece","H5N5 HPAI",1
"Hungary","H5N5 HPAI",1
"Italy","H5N5 HPAI",2
"Montenegro","H5N5 HPAI",1
"Netherlands","H5N5 HPAI",3
"Norway","H5N5 HPAI",14
"Poland","H5N5 HPAI",3
"Romania","H5N5 HPAI",4
"Russian Federation","H5N5 HPAI",1
"Serbia","H5N5 HPAI",1
"Slovenia","H5N5 HPAI",2
"Svalbard and Jan Mayen Islands","H5N5 HPAI",3
"Sweden","H5N5 HPAI",12
"Switzerland","H5N5 HPAI",1
"U.K. of Great Britain and Northern Ireland","H5N5 HPAI",1
"Denmark","H5N6 HPAI",40
"Finland","H5N6 HPAI",3
"Germany","H5N6 HPAI",3
"Ireland","H5N6 HPAI",3
"Netherlands","H5N6 HPAI",10
"Slovakia","H5N6 HPAI",1
"Sweden","H5N6 HPAI",9
"Switzerland","H5N6 HPAI",1
"U.K. of Great Britain and Northern Ireland","H5N6 HPAI",33
"Austria","H5N8 HPAI",61
"Belgium","H5N8 HPAI",19
"Bosnia and Herzegovina","H5N8 HPAI",2
"Bulgaria","H5N8 HPAI",14
"Croatia","H5N8 HPAI",16
"Czech Republic","H5N8 HPAI",67
"Denmark","H5N8 HPAI",178
"Estonia","H5N8 HPAI",30
"Finland","H5N8 HPAI",40
"France","H5N8 HPAI",70
"Germany","H5N8 HPAI",849
"Greece","H5N8 HPAI",11
"Hungary","H5N8 HPAI",70
"Ireland","H5N8 HPAI",35
"Italy","H5N8 HPAI",26
"Latvia","H5N8 HPAI",4
"Lithuania","H5N8 HPAI",9
"Netherlands","H5N8 HPAI",146
"Norway","H5N8 HPAI",23
"Poland","H5N8 HPAI",84
"Portugal","H5N8 HPAI",1
"Romania","H5N8 HPAI",90
"Russian Federation","H5N8 HPAI",21
"Serbia","H5N8 HPAI",19
"Slovakia","H5N8 HPAI",70
"Slovenia","H5N8 HPAI",26
"Spain","H5N8 HPAI",5
"Sweden","H5N8 HPAI",74
"Switzerland","H5N8 HPAI",110
"U.K. of Great Britain and Northern Ireland","H5N8 HPAI",175
"Ukraine","H5N8 HPAI",3
"Serbia","H5N8 LPAI",7
"Austria","H5N9 HPAI",3
"Denmark","H7 HPAI",1
"Denmark","H7 LPAI",1
"France","H7N7 HPAI",1
"Lithuania","H7N7 HPAI",1
"Belgium","HPAI",10
"Bulgaria","HPAI",1
"Russian Federation","HPAI",2
"Austria","LPAI",1
"Denmark","LPAI",1
"Finland","LPAI",1
"Italy","LPAI",1
"Russian Federation","LPAI",1
