"","species","bvbrc_count","order","family","genus"
"1","",581,NA,NA,NA
"2","Acridotheres grandis",5,"Passeriformes","Sturnidae","Acridotheres"
"3","Acridotheres tristis",16,"Passeriformes","Sturnidae","Acridotheres"
"4","Acrocephalus bistrigiceps",1,"Passeriformes","Sylviidae","Acrocephalus"
"5","Acrocephalus orientalis",3,"Passeriformes","Sylviidae","Acrocephalus"
"6","Acrocephalus scirpaceus",1,"Passeriformes","Sylviidae","Acrocephalus"
"7","Actitis hypoleucos",2,"Charadriiformes","Scolopacidae","Actitis"
"8","Aechmophorus occidentalis",1,"Podicipediformes","Podicipedidae","Aechmophorus"
"9","Aegithina tiphia",1,"Passeriformes","Aegithalidae","Aegithina"
"10","Aix sponsa",59,"Anseriformes","Anatidae","Aix"
"11","Alca torda",5,"Charadriiformes","Alcidae","Alca"
"12","Alcedo atthis",3,"Coraciiformes","Alcedinidae","Alcedo"
"13","Alcedo cristata",1,"Coraciiformes","Alcedinidae","Corythornis"
"14","Alcedo quadribrachys",1,"Coraciiformes","Alcedinidae","Alcedo"
"15","Alethe castanea",4,"Passeriformes","Turdidae","Alethe"
"16","Alethe poliocephala",5,"Passeriformes","Turdidae","Alethe"
"17","Alle alle",4,"Charadriiformes","Alcidae","Alle"
"18","Alopochen aegyptiaca",3,"Anseriformes","Anatidae","Alopochen"
"19","Alopochen aegyptiacus",4,"Anseriformes","Anatidae","Alopochen"
"20","Amandava subflava",2,"Passeriformes","Estrildidae","Amandava"
"21","Amaurornis phoenicurus",9,"Gruiformes","Rallidae","Amaurornis"
"22","Amazonetta brasiliensis",3,"Anseriformes","Anatidae","Amazonetta"
"23","Amblyospiza albifrons",1,"Passeriformes","Ploceidae","Amblyospiza"
"24","Anabathmis reichenbachii",1,"Passeriformes","Nectariniidae","Anabathmis"
"25","Anas [platyrhynchos x rubripes]",2,"Anseriformes","Anatidae","Anas"
"26","Anas acuta",1786,"Anseriformes","Anatidae","Anas"
"27","Anas americana",200,"Anseriformes","Anatidae","Mareca"
"28","Anas bahamensis",3,"Anseriformes","Anatidae","Anas"
"29","Anas carolinensis",315,"Anseriformes","Anatidae","Anas"
"30","Anas castanea",9,"Anseriformes","Anatidae","Anas"
"31","Anas clypeata",620,NA,NA,NA
"32","Anas crecca",911,"Anseriformes","Anatidae","Anas"
"33","Anas crecca carolinensis",158,"Anseriformes","Anatidae","Anas"
"34","Anas cyanoptera",39,"Anseriformes","Anatidae","Anas"
"35","Anas discors",2506,"Anseriformes","Anatidae","Spatula"
"36","Anas flavirostris",27,"Anseriformes","Anatidae","Anas"
"37","Anas georgica",27,"Anseriformes","Anatidae","Anas"
"38","Anas gracilis",15,"Anseriformes","Anatidae","Anas"
"39","Anas penelope",965,"Anseriformes","Anatidae","Mareca"
"40","Anas platalea",2,"Anseriformes","Anatidae","Anas"
"41","Anas platyrhynchos",17343,"Anseriformes","Anatidae","Anas"
"42","Anas platyrhynchos x Anas acuta",3,NA,NA,NA
"43","Anas platyrhynchos x Anas rubripes",5,"Anseriformes","Anatidae","Anas"
"44","Anas platyrhynchos x rubripes",2,NA,NA,NA
"45","Anas querquedula",11,"Anseriformes","Anatidae","Spatula"
"46","Anas rubripes",519,"Anseriformes","Anatidae","Anas"
"47","Anas rubripes x Anas platyrhynchos",3,"Anseriformes","Anatidae","Anas"
"48","Anas sibilatrix",1,"Anseriformes","Anatidae","Mareca"
"49","Anas sp.",127,"Anseriformes","Anatidae","Anas"
"50","Anas strepera",368,"Anseriformes","Anatidae","Mareca"
"51","Anas superciliosa",23,"Anseriformes","Anatidae","Anas"
"52","Anas versicolor",3,"Anseriformes","Anatidae","Anas"
"53","Anastomus oscitans",6,"Ciconiiformes","Ciconiidae","Anastomus"
"54","Andropadus",1,"Passeriformes","Pycnonotidae","Andropadus"
"55","Andropadus gracilirostris",1,"Passeriformes","Pycnonotidae","Stelgidillas"
"56","Andropadus latirostris",33,"Passeriformes","Pycnonotidae","Eurillas"
"57","Andropadus virens",19,"Passeriformes","Pycnonotidae","Eurillas"
"58","Anser albifrons",866,"Anseriformes","Anatidae","Anser"
"59","Anser anser",99,"Anseriformes","Anatidae","Anser"
"60","Anser brachyrhynchus",1,"Anseriformes","Anatidae","Anser"
"61","Anser cygnoides",36,"Anseriformes","Anatidae","Anser"
"62","Anser fabalis",56,"Anseriformes","Anatidae","Anser"
"63","Anser fabalis serrirostris",2,NA,NA,NA
"64","Anser indicus",32,"Anseriformes","Anatidae","Anser"
"65","Apus affinis",4,"Apodiformes","Apodidae","Apus"
"66","Aquila heliaca",1,"Accipitriformes","Accipitridae","Aquila"
"67","Ardea alba",6,"Pelecaniformes","Ardeidae","Ardea"
"68","Ardea purpurea",3,"Pelecaniformes","Ardeidae","Ardea"
"69","Ardeola bacchus",1,"Pelecaniformes","Ardeidae","Ardeola"
"70","Ardeola bacchus/speciosa",121,"Pelecaniformes","Ardeidae","Ardeola"
"71","Ardeola grayii",1,"Pelecaniformes","Ardeidae","Ardeola"
"72","Arenaria interpres",1825,"Charadriiformes","Scolopacidae","Arenaria"
"73","Aves (gen, sp)",8,NA,NA,NA
"74","Aythya affinis",58,"Anseriformes","Anatidae","Aythya"
"75","Aythya americana",30,"Anseriformes","Anatidae","Aythya"
"76","Aythya australis",3,"Anseriformes","Anatidae","Aythya"
"77","Aythya collaris",40,"Anseriformes","Anatidae","Aythya"
"78","Aythya ferina",5,"Anseriformes","Anatidae","Aythya"
"79","Aythya fuligula",4,"Anseriformes","Anatidae","Aythya"
"80","Aythya marila",31,"Anseriformes","Anatidae","Aythya"
"81","Aythya valisineria",23,"Anseriformes","Anatidae","Aythya"
"82","Bleda notatus",3,"Passeriformes","Pycnonotidae","Bleda"
"83","Branta bernicla",16,"Anseriformes","Anatidae","Branta"
"84","Branta canadensis",9,"Anseriformes","Anatidae","Branta"
"85","Branta canadensis�",1,"Anseriformes","Anatidae","Branta"
"86","Branta canadensis maxima",1,"Anseriformes","Anatidae","Branta"
"87","Branta hutchinsii",18,"Anseriformes","Anatidae","Branta"
"88","Branta leucopsis",239,"Anseriformes","Anatidae","Branta"
"89","Bubulcus ibis",39,"Pelecaniformes","Ardeidae","Bubulcus"
"90","Bucephala albeola",52,"Anseriformes","Anatidae","Bucephala"
"91","Bucephala clangula",104,"Anseriformes","Anatidae","Bucephala"
"92","Bucephala clangula�",3,"Anseriformes","Anatidae","Bucephala"
"93","Bucephala islandica",2,"Anseriformes","Anatidae","Bucephala"
"94","Bucephala",3,"Anseriformes","Anatidae","Bucephala"
"95","Buteo buteo",3,"Accipitriformes","Accipitridae","Buteo"
"96","Cairina moschata",10,"Anseriformes","Anatidae","Cairina"
"97","Calcarius lapponicus",4,"Passeriformes","Fringillidae","Calcarius"
"98","Calidris acuminata",1,"Charadriiformes","Scolopacidae","Calidris"
"99","Calidris alba",38,"Charadriiformes","Scolopacidae","Calidris"
"100","Calidris alpina",13,"Charadriiformes","Scolopacidae","Calidris"
"101","Calidris canutus",56,"Charadriiformes","Scolopacidae","Calidris"
"102","Calidris fuscicollis",16,"Charadriiformes","Scolopacidae","Calidris"
"103","Calidris mauri",70,"Charadriiformes","Scolopacidae","Calidris"
"104","Calidris melanotos",1,"Charadriiformes","Scolopacidae","Calidris"
"105","Calidris minuta",2,"Charadriiformes","Scolopacidae","Calidris"
"106","Calidris minutilla",42,"Charadriiformes","Scolopacidae","Calidris"
"107","Calidris pusilla",19,"Charadriiformes","Scolopacidae","Calidris"
"108","Calidris ruficollis",8,"Charadriiformes","Scolopacidae","Calidris"
"109","Calidris",3,"Charadriiformes","Scolopacidae","Calidris"
"110","Calidris subminuta",8,"Charadriiformes","Scolopacidae","Calidris"
"111","Calidris temminckii",3,"Charadriiformes","Scolopacidae","Calidris"
"112","Callonetta leucophrys",2,"Anseriformes","Anatidae","Callonetta"
"113","Camaroptera brachyura",3,"Passeriformes","Cisticolidae","Camaroptera"
"114","Catharus ustulatus",1,"Passeriformes","Turdidae","Catharus"
"115","Centropus sinensis",1,"Cuculiformes","Centropidae","Centropus"
"116","Cepphus columba",2,"Charadriiformes","Alcidae","Cepphus"
"117","Cepphus grylle",4,"Charadriiformes","Alcidae","Cepphus"
"118","Ceyx pictus",1,"Coraciiformes","Alcedinidae","Ispidina"
"119","Chalcomitra fuliginosa",1,"Passeriformes","Nectariniidae","Chalcomitra"
"120","Charadrii",338,NA,NA,NA
"121","Charadriiformes",351,"Charadriiformes",NA,NA
"122","Charadrius alexandrinus",4,"Charadriiformes","Charadriidae","Charadrius"
"123","Charadrius dubius",4,"Charadriiformes","Charadriidae","Charadrius"
"124","Charadrius semipalmatus",1,"Charadriiformes","Charadriidae","Charadrius"
"125","Chen caerulescens",30,"Anseriformes","Anatidae","Anser"
"126","Chen caerulescens x rossii",1,NA,NA,NA
"127","Chen canagica",66,NA,NA,NA
"128","Chlidonias leucopterus",1,"Charadriiformes","Laridae","Chlidonias"
"129","Chlidonias niger",1,"Charadriiformes","Laridae","Chlidonias"
"130","Chlorocichla flavicollis",1,"Passeriformes","Pycnonotidae","Atimastillas"
