"","Var1","Freq"
"1","Accipiter Gentilis ",10
"2","Accipitridae (Accipitridae)",159
"3","Accipitridae (Incognita)",12
"4","Accipitridae (Unidentified):Accipitridae (Incognita)(Accipitridae)",22
"5","Anatidae (Incognita)",55
"6","Anatidae (Unidentified)",307
"7","Anatidae (Unidentified):Anatidae (Incognita)(Anatidae)",584
"8","Anserinae (Unidentified):Anserinae (Incognita)(Anatidae)",154
"9","Arctic Skua (Or Parasitic Jaeger)",1
"10","Arctic Tern (Sterna Paradisea)",3
"11","Ardeidae (Unspecified)",6
"12","Arenaria Interpres",1
"13","Armenian Gull (Larus Armenicus)",1
"14","Atlantic Puffin?(Fratercula Arctica)",2
"15","Barn Owl (Tyto Alba)",3
"16","Barnacle Goose:branta Leucopsis(Anatidae)",229
"17","Bean Goose (Anser Fabalis)",7
"18","Bearded Vulture (Gypaetus Barbatus)",5
"19","Black-Faced Spoonbill (Platalea Minor)",1
"20","Black-Headed Gull",2
"21","Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes",5
"22","Black-Necked Grebe (Podiceps Nigricollis):Podicipedidae-Procellariiformes",1
"23","Black Guillemot (Cepphus Grylle)	",2
"24","Black Guillemot (Cepphus Grylle):Alcidae-Charadriiformes",5
"25","Black Headed Gull",5
"26","Black Headed Gull (Chroicocephalus Ridibundus)",61
"27","Black Swan",1
"28","Black Swan (Cygnus Atratus)",6
"29","Black Swan:cygnus Atratus(Anatidae)",1
"30","Brent Goose:branta Bernicla(Anatidae)",10
"31","Brown-Headed Gull (Chroicocephalus Brunnicephalus)",2
"32","Buzzard",219
"33","Cackling Goose (Branta Hutchinsii)",1
"34","Canada Goose (Branta Canadensis)",6
"35","Canada Goose:branta Canadensis(Anatidae)",102
"36","Caspian Gull (Larus Cachinnans)",1
"37","Caspian Tern (Hydroprogne Caspia)",2
"38","Cattle Egret",2
"39","Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)",43
"40","Charadrius Pallidus",3
"41","Ciconiidae (Unidentified):Ciconiidae(Incognita)(Ciconiidae)",6
"42","Cockatiel",3
"43","Columbidae (Unidentified):Columbidae (Incognita)(Columbidae)",2
"44","Common Coot",6
"45","Common Eider (Somateria Mollissima)",13
"46","Common Goldeneye",1
"47","Common Goldeneye (Bucephala Clangula)",1
"48","Common Kestrel",3
"49","Common Kestrel:falco Tinnunculus(Falconidae)",19
"50","Common Loon (Gavia Immer)",1
"51","Common Moorhen",1
"52","Common Moorhen (Gallinula Chloropus)",4
"53","Common Murre (Uria Aalge) ",15
"54","Common Pheasant (Phasianus Colchicus)",5
"55","Common Pochard",6
"56","Common Pochard (Aythya Ferina)",5
"57","Common Raven (Corvus Corax)",2
"58","Common Shelduck (Tadorna Tadorna)",9
"59","Common Tern",2
"60","Common Tern (Sterna Hirundo)",11
"61","Common Wood-Pigeon:columba Palumbus(Columbidae)",3
"62","Coot",8
"63","Cormorant",15
"64","Corvidae (Incognita)",2
"65","Crane",9
"66","Crow",31
"67","Crowned Cormorant (Microcarbo Coronatus)",1
"68","Curlew",15
"69","Dalmatian Pelican",5
"70","Dalmatian Pelican (Pelecanus Crispus)",19
"71","Duck",91
"72","Egret",6
"73","Egyptian Goose (Alopochen Aegyptiacus)",8
"74","Emu",2
"75","Emu (Dromaius Novaehollandiae)",1
"76","Eurasian Blackbird (Turdus Merula)",1
"77","Eurasian Buzzard (Common Buzzard) (Buteo Buteo)",19
"78","Eurasian Buzzard (Common Buzzard):Buteo Buteo(Accipitridae)",36
"79","Eurasian Collared Dove (Streptopelia Decaocto)",2
"80","Eurasian Coot (Fulica Atra)",1
"81","Eurasian Eagle-Owl (Bubo Bubo) ",1
"82","Eurasian Eagle-Owl:bubo Bubo(Strigidae)",7
"83","Eurasian Oystercatcher",2
"84","Eurasian Sparrowhawk:accipiter Nisus(Accipitridae)",13
"85","Eurasian Spoonbill (Platalea Leucorodia)",3
"86","Eurasian Tree Sparrow ",1
"87","Eurasian Wigeon",4
"88","Eurasian Wigeon (Anas Penelope)",40
"89","Eurasian Wigeon:anas Penelope(Anatidae)",8
"90","Falcon",6
"91","Fox",2
"92","Gadwall",7
"93","Garganey (Anas Querquedula)",1
"94","Goosander",4
"95","Goose",203
"96","Goshawk",6
"97","Gray Seal (Halichoerus Grypus):Phocidae-Carnivora",1
"98","Great Black-Backed Gull (Larus Marinus)",30
"99","Great Black-Headed Gull (Ichthyaetus Ichthyaetus)",5
"100","Great Blue Heron",4
"101","Great Cormorant",3
"102","Great Cormorant (Phalacrocorax Carbo)",27
"103","Great Crested Grebe",16
"104","Great Crested Grebe (Podiceps Cristatus)",2
"105","Great Crested Grebe:podiceps Cristatus(Podicipedidae)",5
"106","Great Egret (Ardea Alba)",9
"107","Great Skua (Stercorarius Skua)",18
"108","Greater Flamingo",1
"109","Greater Flamingo (Phoenicopterus Roseus)",2
"110","Greater Rhea (Rhea Americana)",3
"111","Greater Scaup",2
"112","Greater White-Fronted Goose (Anser Albifrons)",25
"113","Grebe",4
"114","Green Sandpiper",2
"115","Grey Crowned Crane",1
"116","Grey Headed Gull (Chroicocephalus Cirrocephalus)",8
"117","Grey Heron",23
"118","Grey Heron:ardea Cinerea(Ardeidae)",28
"119","Greylag Goose",57
"120","Greylag Goose:anser Anser(Anatidae)",179
"121","Griffon Vulture (Gyps Fulvus) ",5
"122","Gruidae (Unidentified):Gruidae (Incognita)(Gruidae)",2
"123","Guinea Fowl",2
"124","Gull",121
"125","Haematopodidae (Unidentified):Haematopodidae (Incognita)(Haematopodidae)",2
"126","Harbor Seal (Phoca Vitulina):Phocidae-Carnivora",1
"127","Harris's Hawk (Parabuteo Unicinctus)",1
"128","Hawk",4
"129","Heron",27
"130","Herring Gull",36
"131","Herring Gull:larus Argentatus(Laridae)",147
"132","Hooded Crow (Corvus Cornix)",7
"133","House Sparrow",7
"134","Indian Peafowl (Pavo Cristatus)",2
"135","Ivory Gull (Pagophila Eburnea)",1
"136","Jackdaw",2
"137","Kite",3
"138","Laridae (Unidentified):Laridae (Incognita)(Laridae)",160
"139","Lesser Black-Backed Gull (Larus Fuscus)",1
"140","Lesser Black-Backed Gull:larus Fuscus(Laridae)",5
"141","Lesser Black Backed Gull (Larus Fuscus)",3
"142","Little Egret",1
"143","Little Grebe",3
"144","Little Grebe:tachybaptus Ruficollis(Podicipedidae)",3
"145","Little Owl (Athene Noctua):Strigidae-Suliformes",1
"146","Magpie",16
"147","Mallard",77
"148","Mallard:anas Platyrhynchos(Anatidae)",48
"149","Marbled Teal",1
"150","Mediterranean Gull ",4
"151","Mew Gull (Larus Canus)",10
"152","Mink",3
"153","Muscovy Duck:cairina Moschata(Anatidae)",1
"154","Mute Swan  (Cygnus Olor)",345
"155","Mute Swan:cygnus Olor(Anatidae)",477
"156","Northern Bald Ibis (Geronticus Eremita) ",1
"157","Northern Crested Caracara (Caracara Cheriway)",1
"158","Northern Fulmar (Fulmarus Glacialis)	",2
"159","Northern Gannet:morus Bassanus(Sulidae)",204
"160","Northern Lapwing",1
"161","Northern Pintail (Anas Acuta)",2
"162","Northern Shoveler",1
"163","Numididae (Unidentified)",1
"164","Owl",26
