"","Var1","Var2","value","set","nbins"
"1","Q1","none",808,"train_A",6
"2","Q2","none",94,"train_A",6
"3","Q3","none",37,"train_A",6
"4","Q4","none",314,"train_A",6
"5","Q1","rand",808,"train_A",6
"6","Q2","rand",94,"train_A",6
"7","Q3","rand",37,"train_A",6
"8","Q4","rand",314,"train_A",6
"9","Q1","env",520,"train_A",6
"10","Q2","env",81,"train_A",6
"11","Q3","env",30,"train_A",6
"12","Q4","env",212,"train_A",6
"13","Q1","none",613,"pseudoabs_train_A",6
"14","Q2","none",90,"pseudoabs_train_A",6
"15","Q3","none",37,"pseudoabs_train_A",6
"16","Q4","none",270,"pseudoabs_train_A",6
"17","Q1","rand",613,"pseudoabs_train_A",6
"18","Q2","rand",90,"pseudoabs_train_A",6
"19","Q3","rand",37,"pseudoabs_train_A",6
"20","Q4","rand",270,"pseudoabs_train_A",6
"21","Q1","env",457,"pseudoabs_train_A",6
"22","Q2","env",84,"pseudoabs_train_A",6
"23","Q3","env",36,"pseudoabs_train_A",6
"24","Q4","env",226,"pseudoabs_train_A",6
"25","Q1","none",1630,"train_B",6
"26","Q2","none",387,"train_B",6
"27","Q3","none",473,"train_B",6
"28","Q4","none",1066,"train_B",6
"29","Q1","rand",1000,"train_B",6
"30","Q2","rand",387,"train_B",6
"31","Q3","rand",473,"train_B",6
"32","Q4","rand",1000,"train_B",6
"33","Q1","env",703,"train_B",6
"34","Q2","env",192,"train_B",6
"35","Q3","env",220,"train_B",6
"36","Q4","env",450,"train_B",6
"37","Q1","none",1187,"pseudoabs_train_B",6
"38","Q2","none",315,"pseudoabs_train_B",6
"39","Q3","none",402,"pseudoabs_train_B",6
"40","Q4","none",846,"pseudoabs_train_B",6
"41","Q1","rand",1000,"pseudoabs_train_B",6
"42","Q2","rand",315,"pseudoabs_train_B",6
"43","Q3","rand",402,"pseudoabs_train_B",6
"44","Q4","rand",846,"pseudoabs_train_B",6
"45","Q1","env",828,"pseudoabs_train_B",6
"46","Q2","env",275,"pseudoabs_train_B",6
"47","Q3","env",338,"pseudoabs_train_B",6
"48","Q4","env",630,"pseudoabs_train_B",6
